search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
Aston University,university,clairestoneman.bsky.social,Claire Stoneman,"Principal Lift Schools▫️English teacher▫️Brum▫️organiser researchED Birmingham & researchED Leicester▫️Visiting Professor, School of Social Sciences and Humanities, Aston University▫️views own▫️blog here: https://birminghamteacher.wordpress.com",0,0,0,2024-10-20
Aston University,university,drcpennington.bsky.social,Charlotte Pennington 🌻,"Senior Lecturer in Psychology @ Aston University 🧠 ; UKRN Local Network Lead 📊; AE of #RegisteredReports for PCI & Addiction Research & Theory 👩‍🔬

Author of: ""A Student's Guide to Open Science: Using the Replication Crisis to Reform Psychology""",0,0,0,2024-10-20
Aston University,university,drabigailboucher.bsky.social,Dr Abigail Boucher,Lecturer in English at Aston University. Scholar of nineteenth-century literature and genre fiction. One half of Save Me From My Shelf podcast.,0,0,0,2024-10-20
Aston University,university,tasoskitsos.bsky.social,Tasos Kitsos,"Associate Professor at Aston University
#resilience #entrepreneurship #innovation #creative and #digital economies and others.",0,0,0,2024-10-20
Aston University,university,j-p-reynolds.bsky.social,James Reynolds ,"Senior lecturer in Psychology at Aston University. Research on behavioural science, political psychology, public health",0,0,0,2024-10-20
Aston University,university,ilariascaglia.bsky.social,Ilaria Scaglia,"History Senior Lecturer at Aston University in Birmingham, UK. Author of The Emotions of Internationalism (OUP, 2020).
Internationalism, culture, archives, emotions. 
Views are mine. https://ilariascaglia.com",0,0,0,2024-10-20
Aston University,university,fcampelo.bsky.social,Felipe Campelo,"Associate Prof. of Data Science, University of Bristol (UK) . Formerly at UFMG (Brazil; 2009-19) and Aston University (UK; 2019-24). PhD in Systems Science, Hokkaido University (Japan, 2009).",0,0,0,2024-10-20
Aston University,university,profblissett.bsky.social,Professor Jackie Blissett ,"Professor of Childhood Eating Behaviour. CoDirector of Aston Institute of Health & Neurodevelopment, Aston University, Birmingham, UK. Interested in why kids eat what they (don’t) eat & the role of individual, family & system factors in eating development.",0,0,0,2024-10-20
Aston University,university,dralexispaton.bsky.social,Alexis Paton ,"Writer and academic studying all things #MedicalEthics, #DecisionMaking, #Health, #HealthInequalities, #SocialDeterminantsOfHealth, #MedicalSociology and #Sociology. Director, Centre for Health and Society, Aston University. ",0,0,0,2024-10-20
Aston University,university,lucboutsen.bsky.social,Luc Boutsen,"Cognitive psychologist, Asst Prof at Aston University. Visual cognition, face and object perception, attention, EEG, eyetracking.
",0,0,0,2024-10-20
Aston University,university,hayley-b.bsky.social,Hayley ,"ECF Lead • ITT Tutor • Teacher Educator • Instructional Coach • Visiting Lecturer • 
Former Head of English/ English teacher

NPQML • NPQLTD • MA English student at Aston University",0,0,0,2024-10-20
Aston University,university,thomaseason.bsky.social,Dr Thomas Eason,"Lecturer in Politics and International Relations at Aston University. Researches British Foreign Policy, Foreign Policy Analysis, and Intelligence Studies. 

thomaseason.co.uk",0,0,0,2024-10-20
Aston University,university,rachelsbickley.bsky.social,Rachel Bickley ,"British immigrant in Kaurna Country. Manager, Research Engagement at University of Adelaide Library. Librarian, world wanderer, travel blogger, intersectional feminist, runner, vegan, bookworm, Aston Villa fan. Big on Open Access. #ebooksos co-founder. ",0,0,0,2024-10-20
Aston University,university,lovermob.bsky.social,Dr Robbie Love,"Lecturer in English Language, Aston University • Corpus linguistics • #CorpusCast • 🏳️‍🌈🎭",0,0,0,2024-10-20
Aston University,university,chsresearch.bsky.social,Centre for Health and Society ,"Research centre at Aston University looking at all things health and society including: health inequalities, all determinants of health, public health, digital health and more. https://www.aston.ac.uk/research/bss/research-centres/centre-health-society",0,0,0,2024-10-20
