search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
Brunel University London,university,rebeccasear.bsky.social,Rebecca Sear,"Director of the Centre for Culture and Evolution, Brunel University London. President of the European Human Behaviour and Evolution Association

https://www.rebeccasear.org/",0,0,0,2024-10-20
Brunel University London,university,joannabagniewska.com,Joanna Bagniewska ,"Zoologist, science communicator, 🇵🇱 in 🇬🇧. 
Departmental Lecturer in Environmental Science at Oxford University
Senior lecturer at Brunel University London

I wrote a somewhat inappropriate book and you should buy it. ",0,0,0,2024-10-20
Brunel University London,university,aiyanakoka.bsky.social,Aiyana Koka Willard,"Cultural Evolutionary Psychologist | Centre for Culture and Evolution | Brunel University London
Researcher of religion, religious decline, spiritual beliefs, and other worldviews ",0,0,0,2024-10-20
Brunel University London,university,replicatedtypo.bsky.social,James Winters,"Researching culture, its evolution, and anything in-between

Centre for Culture and Evolution | Brunel University London | https://j-winters.github.io",0,0,0,2024-10-20
Brunel University London,university,anitahowarth27.bsky.social,Anita Howarth,"Senior Lecturer at Brunel University London @brunelsmcj. Researcher on journalism and political communication. Writes on social justice issues with a particular interest in migration, politics of food and hunger, and Guantanamo. ",0,0,0,2024-10-20
Brunel University London,university,jordanmoon.bsky.social,Jordan Moon ,"Social psychologist at the Centre for Culture and Evolution at Brunel University London. Former research fellow at the Institute for Advanced Study in Toulouse. PhD from Arizona State University. 

Religion, morality, etc.",0,0,0,2024-10-20
Brunel University London,university,nicolejwen.bsky.social,Nicole Wen,Ph.D. • Lecturer (Asst Prof) in Psychology | Centre for Culture and Evolution | Brunel University London | Director of the Culture & Minds Lab | www.nicolewen.com,0,0,0,2024-10-20
Brunel University London,university,ronanmccarthy.bsky.social,Ronan McCarthy,"Professor at Brunel University of London. Into all things Antibiotic Resistance, Drug Discovery, Biofilms and Signalling",0,0,0,2024-10-20
Brunel University London,university,drbaferguson.bsky.social,Dr. B.A. Ferguson,"Composer/Ludomusicologist/Guitarist/Indie Game Dev, Developed ""A Walk in the Park,"" developing both ""Conducktus"" and ""Bardcore""; Lecturer of Games Sound and Music at Brunel University London

https://linktr.ee/drbaferguson",0,0,0,2024-10-20
Brunel University London,university,andrewcarroll.bsky.social,Dr Andrew Carroll ,PGCE Science Lead and Programme Lead for the EdD at Brunel University London. ,0,0,0,2024-10-20
Brunel University London,university,mvdematos.bsky.social,Marcus De Matos,PhD in Law. Senior Lecturer at Brunel University of London. Honorary member at the Institute of Brazilian Lawyers (IAB). I enjoy: Legal Theory | ABU | Democracy | RECAP | Flamengo. Opinions r my own. Check: https://www.brunel.ac.uk/people/marcus-dematos ,0,0,0,2024-10-20
Brunel University London,university,rdedios.bsky.social,Rubén de Dios,"Regulation, regulation, regulation. Also a bit of biofilm. Postdoc at Ronan McCarthy lab, Brunel University London 🏳️‍🌈 Editor Mentee #AccessMicro",0,0,0,2024-10-20
Brunel University London,university,laurarnc1.bsky.social,Laura RNC,#CYPNurse #EBP Nurse lecturer #NAs at Brunel University London. Co-author: Clinical Pocket Ref for NAs. Living with CML (chronic blood cancer). All own views.,0,0,0,2024-10-20
Brunel University London,university,williamcostello.bsky.social,William Costello ,"🇮🇪 PhD student of Evolutionary Psychology Lab at the University of Texas at Austin.

MSc Psych: Evolution & Culture Brunel University London ‘21

APA Division 51 Society For the Psychological Study of Men and masculinities student of the year.",0,0,0,2024-10-20
Brunel University London,university,emmajnorris.bsky.social,Dr Emma Norris,Senior Lecturer at Brunel University London • Public Health & Behaviour Change • Open Science • Mum,0,0,0,2024-10-20
Brunel University London,university,whydoitweet.bsky.social,Derek Groen,"Reader in Simulation @ Brunel University London. #multiscale #migration & #covid19 simulations using #HPC. Teaches Digital Media and Games. Also a football goalie and a #splinterlands player. Views are my own, not all are scientific 😎.
",0,0,0,2024-10-20
Brunel University London,university,drmbocchetta.bsky.social,Dr Martina Bocchetta,"Lecturer in Neuroscience at UCL • Honorary Senior Research Fellow at Brunel University London • Neuroimaging markers in #FTD 
linktr.ee/mbocchetta",0,0,0,2024-10-20
Brunel University London,university,georgefarren.bsky.social,George Farren,27 - 🦕 Product Design Engineering Graduate from Brunel University London. I make stuff... and very occasionally finish stuff too!,0,0,0,2024-10-20
Brunel University London,university,byroncreese.bsky.social,Dr Byron Creese ,"Senior Lecturer | Brunel University London | Centre for Cognitive and Clinical Neuroscience | Neuropsychiatric Syndromes in #Dementia 

Bit of a metalhead as well.",0,0,0,2024-10-20
Brunel University London,university,bbslibrarian.bsky.social,Brunel Business School Librarian,"Alice Cann, Academic Liaison Librarian for business at Brunel University London. Updates about resources, services, training & support, & occasionally about my working day. Happy to chat with others at Brunel also on BlueSky, & advise on getting started.",0,0,0,2024-10-20
Brunel University London,university,elmarkal.bsky.social,Elmar Kal,"Senior lecturer in Physiotherapy @Brunel University London. Movement scientist with interest in balance, gait and motor learning.",0,0,0,2024-10-20
