search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
Cardiff University,university,flintdibble.bsky.social,Flint Dibble,"⛏️ Archaeologist at Cardiff University
Ancient Greek🏺animals, food, & environment 🍖
Fighting Atlantis pseudoscience 🌊🏛
Tavros is our rescue 🐈 from Knossos
It's my real name | he/him",0,0,0,2024-10-20
Cardiff University,university,thierryaaron.bsky.social,Dr. Aaron Thierry,Graduate student at Cardiff University - researching the role of science and scientists in the climate movement. PhD in Ecology. Activism. Climate communications.,0,0,0,2024-10-20
Cardiff University,university,mattwalshjourno.bsky.social,Matt Walsh,"Head of the School of Journalism, Media and Culture at Cardiff University. Trustee at The Conversation, BJTC, and member of Impress standards code committee. Hacked about a bit.",0,0,0,2024-10-20
Cardiff University,university,polpsychjoe.bsky.social,Joe Phillips,"Lecturer in Politics, Cardiff University. Political Psychology. Polarization. Political Communication.",0,0,0,2024-10-20
Cardiff University,university,rhiannonsilva.bsky.social,Rhiannon Silva,"Astrophysicist. Currently working on my second PhD on gravitational waves from black holes, at the Gravity Exploration Institute, Cardiff University.
She/they/any.",0,0,0,2024-10-20
Cardiff University,university,mrfw17thc.bsky.social,Mark Williams,"Reader in #EarlyModern History at Cardiff University. Currently writing a cultural history of the English East India Company. Him/His. 

All opinions my own.",0,0,0,2024-10-20
Cardiff University,university,barthesstudies.bsky.social,Barthes Studies,"An open-access, independent, peer-reviewed journal for research in English on the work of Roland Barthes. Based at Cardiff University. The journal doesn’t have personal pronouns but the person posting here does: he/him.

https://sites.cardiff.ac.uk/barthes",0,0,0,2024-10-20
Cardiff University,university,karinwahlj.bsky.social,Karin Wahl-Jorgensen,"Dean of Research Environment and Culture and journalism professor, Cardiff University. 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇩🇰🇪🇺",0,0,0,2024-10-20
Cardiff University,university,michaelmunnik.bsky.social,Michael Munnik,"Canadian pilgrim in Wales. Sociologist of media and religion, senior lecturer at Cardiff University, Centre for the Study of Islam in the UK. Musical side-hustle at https://michaelmunnik.ca/",0,0,0,2024-10-20
Cardiff University,university,timdavisastro.bsky.social,Tim Davis,Extragalactic Astronomer and Reader at Cardiff University (he/him). 🇬🇧🇱🇺🇪🇺 ,0,0,0,2024-10-20
Cardiff University,university,ckhillebrand.bsky.social,Dr. Claudia Hillebrand,"I specialise in intelligence accountability, contemporary intelligence studies and secrecy. SL in International Politics at Cardiff University. #WIN #SPIN",0,0,0,2024-10-20
Cardiff University,university,mlorimer.bsky.social,Marta Lorimer,"Lecturer in Politics, Cardiff University and Editor, PRX Journal. Formerly LSE. Researches far right and differentiated integration. ",0,0,0,2024-10-20
Cardiff University,university,handle.invalid,Daniel Smith,Senior Lecturer in Sociology | Cardiff University ,0,0,0,2024-10-20
Cardiff University,university,thomasrintoul.bsky.social,Thomas Rintoul ,"Galaxy Evolution PhD student at Cardiff Uni | MPhys Astro University of St Andrews 2023 | Scottish | Science Communicator
https://linktr.ee/ThomasRintoul",0,0,0,2024-10-20
Cardiff University,university,drswissmiss.bsky.social,Mercedes Durham,"Multilingual, multicultural, multilovely. 
Professor of Sociolinguistics at Cardiff University 🇨🇭🏴󠁧󠁢󠁷󠁬󠁳󠁿🇺🇸
She/her",0,0,0,2024-10-20
Cardiff University,university,andrewdbuck.bsky.social,Dr Andrew D. Buck,Lecturer in Medieval History at Cardiff University. Beer enthusiast. The Truth Shall Make Ye Fret.,0,0,0,2024-10-20
Cardiff University,university,robthomasbirds.bsky.social,Rob Thomas,"Bird-watcher and conservationist, living in Wales, teaching and researching at Cardiff University. Co-director of Eco-explore Community Interest Company, trustee of Initiative for Nature Conservation Cymru and Craig y Rhondda.",0,0,0,2024-10-20
Cardiff University,university,andrewleyshon.bsky.social,Andrew Leyshon,"Economic Geographer.  Emeritus Professor (University of Nottingham), Senior Fellow (Nottingham Business School, NTU) and Senior Academic Adviser (Midlands Engine). Mediocre cyclist. Money and music, mainly. Oh, and Cardiff City (fms ... ).",0,0,0,2024-10-20
Cardiff University,university,rodhick.bsky.social,Rod Hick,Professor of Social Policy at Cardiff University. Poverty | social security | work | housing. Irishman abroad. www.rodhick.com,0,0,0,2024-10-20
Cardiff University,university,jbrigstocke.bsky.social,Julian Brigstocke,"Geographer at Cardiff University. 'Non-authoritarian authority'; politics of aesthetics; social, cultural and political theory; cities; materialisms. Working in Rio, Hong Kong & Paris. Chair of the UK History and Philosophy of Geography Research Group",0,0,0,2024-10-20
Cardiff University,university,emilyncock.bsky.social,Emily Cock,"Historian at Cardiff University. Dysgwr Cymraeg. Also keen on our garden, cat, and chickens.",0,0,0,2024-10-20
Cardiff University,university,enwright.bsky.social,Esther Wright,Senior Lecturer in Digital History @ Cardiff University. Historical video game marketing & Rockstar Games researcher. Co-convenor: @historygamesnet [She/her].,0,0,0,2024-10-20
Cardiff University,university,prossertj.bsky.social,Thomas Prosser,"Professor of European political economy, Cardiff University. Essayist. Dislikes partisans, likes paradoxes. Author of two books with Manchester University Press.",0,0,0,2024-10-20
Cardiff University,university,handle.invalid,Tom Connor,Public health genomics and big computers. Work for Public Health Wales and Cardiff University. Parent of two small children. Also likes cats. Views my own.,0,0,0,2024-10-20
Cardiff University,university,frannystash.bsky.social,Nick Clifton,"Economic Geography Prof at Cardiff Metropolitan University, affiliated Member at CIRCLE, Lund University. Father of 2, European, follower of #SaintsFC, lately obsessed by trees. Personal views, RPs≠endorsements, blah etc.",0,0,0,2024-10-20
Cardiff University,university,tommasoreggiani.bsky.social,Tommaso Reggiani,"Cardiff University | Masaryk University |  IZA
Behavioural & Experimental Economics  (#10collista)
https://sites.google.com/view/tommaso-reggiani/

",0,0,0,2024-10-20
Cardiff University,university,sandbergrlaw.bsky.social,Russell Sandberg ,"Professor of Law at Cardiff University, Wales, UK. Writes on Legal History & Law and Religion with focus on marriage law and education law reform. https://linktr.ee/sandbergrlaw",0,0,0,2024-10-20
Cardiff University,university,meridethgattis.bsky.social,Merideth Gattis,Professor of Psychology at Cardiff University Centre for Human Developmental Science / Teaching research methods / Researching cognition communication & parenting,0,0,0,2024-10-20
Cardiff University,university,drkkendall.bsky.social,Dr Kimberley Kendall,"Mental Health Mission Senior Clinical Fellow at Cardiff University 

Interested in genetic influences on illness outcomes in severe mental illness and translation of genetic findings to the clinic.

I love sherbet lemons.",0,0,0,2024-10-20
Cardiff University,university,jaclarner.bsky.social,Jac Larner,"Politics Lecturer Cardiff University & Fellow Edinburgh University.

Political Psychology 🧠 & Public Opinion.

Working on Welsh & Scottish Election Studies",0,0,0,2024-10-20
Cardiff University,university,brionylatter.bsky.social,Briony Latter,"Climate change researcher (public engagement) from a creative background 📷 Freelance & @cast-centre.bsky.social, Cardiff University, Wales/Cymru 🏴󠁧󠁢󠁷󠁬󠁳󠁿 Northern. She/her

www.brionylatter.co.uk",0,0,0,2024-10-20
Cardiff University,university,steveclimate.bsky.social,Steve Westlake,"At Cardiff University researching the effects of leading by example with low-carbon behaviour. Particular interest in politicians, celebrities & CEOs.",0,0,0,2024-10-20
Cardiff University,university,clareparry.bsky.social,Clare Parry,"PhD Candidate, Cardiff University. Ancient Near East, Outreach and Teaching. SHARE with Schools. Musician. She/Her. All views own",0,0,0,2024-10-20
Cardiff University,university,jamtone.bsky.social,The Jim Reaper,"I am the product of everyone I've ever met. 

Amateur epistemologist, Cardiff University. Misinformation research. Ex hack & social media strategy. Old junglists never die, they just get less massive. #AuDHD: chaotic good. 🏴󠁧󠁢󠁷󠁬󠁳󠁿",0,0,0,2024-10-20
