search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
Durham University,university,markrubin.bsky.social,Mark Rubin,"social psychology ▪︎ metascience ▪︎ philosophy of science ▪︎ higher education

Professor at Durham University, UK. He/him.

Website: https://sites.google.com/site/markrubinsocialpsychresearch/

Substack: https://markrubin.substack.com/",0,0,0,2024-10-20
Durham University,university,legalmusings.bsky.social,Alexander Horne,"Barrister. Commentator. Visiting Prof @ Durham University. Former parliamentary lawyer. Former special adviser UK Parliament (women & equalities; international agreements). Musings on law, politics & restaurants . Personal views. 
🇬🇧🇧🇪🇮🇱
📍LDN/BXL",0,0,0,2024-10-20
Durham University,university,elimeyerhoff.bsky.social,Eli Meyerhoff,"building new worlds in the shell of the old / trusting kids / abolition / decolonization / geography / political theory / https://abolition.university / 
book: _Beyond Education: Radical studying for another world_ http://elimeyerhoff.com / Durham, NC",0,0,0,2024-10-20
Durham University,university,drblack.bsky.social,Sue Black ,"Professor of Computer Science and Tech Evangelist at Durham University; Deputy President British Computer Society, #womenintech, #100moments tech #podcast host and so much more… https://linktr.ee/drsueblack
",0,0,0,2024-10-20
Durham University,university,lissad.bsky.social,Melissa Powell Candy,"Demographics/post-Roman historian. 
Archives. Cats. Art. Writer. 
University of Durham   ",0,0,0,2024-10-20
Durham University,university,nataliesedacca.bsky.social,Natalie Sedacca,"Legal academic at Durham University, researching labour law and human rights with a focus on domestic workers, other marginalised workers and issues of gender and migration. Trustee for migrant domestic worker NGO Kalayaan. She / her",0,0,0,2024-10-20
Durham University,university,bookscribbler.bsky.social,Matthew Daniel Eddy 🌻,"History Prof @ Durham University | STS | HPS | Book: Media and the Mind: Art, Science, and Notebooks as Paper Machines,1700-1830 (Chicago: 2023) | Current Project: Race, Data and the British Empire.",0,0,0,2024-10-20
Durham University,university,danieljhartley.bsky.social,Daniel Hartley,"Associate Professor in World Literatures at Durham University. Marxist literary criticism & environmental humanities, new peasantries, agroecology, post-capitalist futures. Views mine.",0,0,0,2024-10-20
Durham University,university,clairehorwell.bsky.social,Prof Claire J Horwell,"Director of the International Volcanic Health Hazard Network (www.ivhhn.org). Professor of Geohealth at Durham University, UK. PI of the FACE-UP Consortium. Working on air pollution & health protection related to volcanoes, cities, industrial exposures etc",0,0,0,2024-10-20
Durham University,university,unsocialtheory.bsky.social,Jana Bacevic,"Feral theorist. Anthropologist & sociologist by training, philosopher in practice, anti-disciplinary by choice. Associate professor, Durham University; migrant rep, Durham UCU. janabacevic.net ",0,0,0,2024-10-20
Durham University,university,christinajriggs.bsky.social,Christina Riggs,"Writer and academic: photograpy, art, archives, museums, history. Italophile, tango dancer, and Professor of History & Visual Culture, Durham University, UK. Author of Treasured: How Tutankhamun Shaped a Century (Atlantic 2021) https://christinariggs.com",0,0,0,2024-10-20
Durham University,university,chvanhoutven.bsky.social,Courtney Van Houtven,"Health economist, health services and health policy researcher, long-term care, family caregiving. Department of Population Health Sciences Duke University and Durham ADAPT, Veterans Affairs.",0,0,0,2024-10-20
Durham University,university,zannaclay.bsky.social,Zanna Clay,"Professor, Psychology- Durham University. Comparative Cognition and Cross-Cultural Development Lab. Primatology, developmental psychology, bonobos, chimpanzees. Interested in evolution and development of empathy, language, culture, social cognition",0,0,0,2024-10-20
