search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
ESRC,Funders and research programmes,richardblundell.bsky.social,Richard Blundell,"Ricardo Professor of Political Economy, @EconUCL http://ucl.ac.uk/~uctp39a/ 
Co-Director ESRC Research Centre, @TheIFS http://ifs.org.uk/inequality/
",0,0,0,2024-10-20
ESRC,Funders and research programmes,floriangkern.bsky.social,Florian G. Kern,"Associate Professor, political scientist, Dep of Government, Univ of Essex, comparative politics in Africa, mixed methods, Visiting Senior Fellow LSE Dep of Methodology; Batigols founding member; ESRC-funded MCCRA

https://sites.google.com/site/floriangk",0,0,0,2024-10-20
ESRC,Funders and research programmes,productivity.bsky.social,The Productivity Institute,ESRC funded Productivity Institute. Headquarters at Alliance Manchester Business School,0,0,0,2024-10-20
ESRC,Funders and research programmes,chsmith.bsky.social,Charlie Harry Smith,"Developing a liberal political philosophy of British digital ID systems. Doctoral researcher at the Oxford Internet Institute and Balliol College, funded by the ESRC. chsmith.co.uk (he/him)",0,0,0,2024-10-20
ESRC,Funders and research programmes,digitalgoodnet.bsky.social,ESRC Digital Good Network,"An ESRC-funded, £4 million research network building a research community focused on what a good digital society should look like and how we get there.

digitalgood.net
Sign up to our newsletter at: http://eepurl.com/idhmon
",0,0,0,2024-10-20
ESRC,Funders and research programmes,indysmith.bsky.social,Damien Smith,Deputy Director of Research (Economics) at the ESRC. Loves cities. Views own.,0,0,0,2024-10-20
ESRC,Funders and research programmes,katyahe.bsky.social,Ekaterina Hertog,"Associate Professor of AI & Society 
Oxford Internet Institute and Institute for Ethics in AI, University of Oxford
Principal Investigator at DomesticAI (http://domesticai.oii.ox.ac.uk) project funded by ESRC",0,0,0,2024-10-20
ESRC,Funders and research programmes,cagewarwick.bsky.social,CAGE Research Centre,"ESRC research centre based at the University of Warwick delivering policy-driven economics research informed by culture, history and behaviour. 
www.warwick.ac.uk/cage ",0,0,0,2024-10-20
ESRC,Funders and research programmes,parkali.bsky.social,Alison Park,"Deputy Executive Chair ESRC, part of UKRI. Research (esp social science & interdisciplinary) and data (survey, admin, smart & data infrastructure … ), visualisation. Harringay, London. 
All views my own.",0,0,0,2024-10-20
ESRC,Funders and research programmes,oliviamason.bsky.social,Olivia Mason ,I'm a geographer researching mobility politics + resource colonialism. PI ESRC NI Grant 'Cultural politics of nature reserves in Jordan'. Views my own. She/Her.,0,0,0,2024-10-20
ESRC,Funders and research programmes,elenasemino.bsky.social,Elena Semino,"Distinguished Professor in Department of Linguistics & English Language, Lancaster University; Director of ESRC Centre for Corpus Approaches to Social Science.

Metaphor, narrative, health communication | corpora | cancer, pain, Covid, vaccines",0,0,0,2024-10-20
ESRC,Funders and research programmes,heatherlwellis.bsky.social,Dr Heather Ellis 🍎,"SFHEA, FRHistS | Historian of education &  knowledge Uni of Sheffield https://www.sheffield.ac.uk/education/people/academic/heather-ellis | Co-I ESRC School Meals Project https://www.theschoolmealsproject.co.uk/ |
Editor History of Education | ",0,0,0,2024-10-20
ESRC,Funders and research programmes,cast-centre.bsky.social,The Centre for Climate Change and Social Transformations (CAST),"We are the Centre for Climate Change and Social Transformations (CAST); an ESRC-funded research centre exploring the science of climate action. Based at the University of Bath.

www.cast.ac.uk",0,0,0,2024-10-20
ESRC,Funders and research programmes,finnklebe.bsky.social,Finn Klebe,"ESRC-funded PhD student in Political Science at University College London -- researching contentious movements, political violence, repression, external support in conflict I University of Oxford Graduate",0,0,0,2024-10-20
ESRC,Funders and research programmes,asterinidae.bsky.social,Dr Pamela Buchan,"Interdisciplinary marine social scientist. Independent and @UniofExeter @ExeterMarine. #Motion4TheOcean Founder and ESRC #ImpactPrize winner 2022.
Labour:Coast&Country Director.
#MarSocSci #MarineCitizenship X@Asterinidae",0,0,0,2024-10-20
ESRC,Funders and research programmes,jggd.bsky.social,Joaquim Gaignard,"PhD researcher, NINE DTP - UK ESRC 
Political Geography at Durham University, UK

Scottish Arctic Politics
Scottishness & Arctic politics, Northern & oceanic imaginaries, archipelagic turn, liminal geopolitics.",0,0,0,2024-10-20
ESRC,Funders and research programmes,maxreuvers.bsky.social,Max Reuvers,"ESRC-funded PhD student in linguistics at the University of Nottingham. Previously at the University of Groningen. All of the ideas, none of the time. Queer & trans linguistics, multilingualism. He/him 🏳️‍⚧️🏳️‍🌈",0,0,0,2024-10-20
ESRC,Funders and research programmes,thecitp.bsky.social,CITP,"The Centre for Inclusive Trade Policy, funded by the ESRC is built on the precept that trade policy should be inclusive in both policy formulation and outcomes",0,0,0,2024-10-20
