search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
Heriot-Watt University,university,markeschaffer.bsky.social,Mark Schaffer,"Professor of Economics, Heriot-Watt University, Edinburgh",0,0,0,2024-10-20
Heriot-Watt University,university,mikechristie.bsky.social,Mike Christie,"Interested in maths, physics, astronomy, astrophotography.  Member of Astronomical Society of Edinburgh. Emeritus Professor at Heriot-Watt University. ",0,0,0,2024-10-20
Heriot-Watt University,university,eoinaldo.bsky.social,Eoin McLaughlin,"Econ Prof at Heriot-Watt University, interested in #econhist, #landreform, #microfinance, #sustainabledevelopment, #health, #nufc & #Seinfeld (not necessarily in that order)",0,0,0,2024-10-20
Heriot-Watt University,university,simon-on-energy.bsky.social,Simon Waldman,"Teaching & research on renewable energy with Heriot-Watt University, #Orkney. #UCU member. #Energy, #oceanography, & #academia, all in personal capacity. Born at 334ppm. Also at @simon_on_energy@fediscience.org. Formerly @simon_on_energy on twitter. he/him",0,0,0,2024-10-20
Heriot-Watt University,university,rach-hulme.bsky.social,Rachael Hulme,"Assistant Professor in Psychology at Heriot-Watt University (Edinburgh, UK) interested in language learning, comprehension, and reading.

Personal webpage: https://sites.google.com/view/rachaelhulme",0,0,0,2024-10-20
Heriot-Watt University,university,marcalexander.bsky.social,Marc Alexander,"Assistant Prof at Heriot-Watt University, researching interaction, long-suffering NCFC fan, and Oxford comma late-adopter #discursivepsychology #emca",0,0,0,2024-10-20
Heriot-Watt University,university,kazaalexander.bsky.social,Karen Alexander,Ass. Prof Heriot-Watt University UK. Marine scientist. Human dimensions & marine governance. ,0,0,0,2024-10-20
Heriot-Watt University,university,uisdeannicholson.bsky.social,Uisdean Nicholson,"Marine and sedimentary geologist. Ocean circulation, Earth hazards, impacts... Associate Prof at Heriot-Watt University. Hebridean provenance. Dad to 3 and husband to 1...",0,0,0,2024-10-20
Heriot-Watt University,university,holswright.bsky.social,Dr Hollie Wright,Photonics postdoc at Heriot-Watt University. On a mission to deliver the next generation of LiDAR. 🏴󠁧󠁢󠁳󠁣󠁴󠁿🧿♈️🐕‍🦺,0,0,0,2024-10-20
Heriot-Watt University,university,decsnow.bsky.social,Decsnow,"a fennec fox going to study at Heriot-watt University  Edinburgh Scotland 
blog：decsnow.com
feel free to PM, or email me: contact@decsnow.com",0,0,0,2024-10-20
Heriot-Watt University,university,cbrahms.bsky.social,Christian Brahms,"Assistant Professor and RAEng Research Fellow, Institute of Photonics and Quantum Sciences, Heriot-Watt University. I create very short ultrafast laser pulses at new wavelengths and then point them at stuff.",0,0,0,2024-10-20
Heriot-Watt University,university,black-swan.bsky.social,Cygne Noir,"Heriot-Watt University alumni 
Lover of art in all its forms, wellbeing and nature 
",0,0,0,2024-10-20
