search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
Imperial College London,university,munkeatlooi.bsky.social,Mun-Keat Looi,"International Features Editor, The BMJ
Journalism lecturer, Imperial College London
Japanophile, #MUFC. Views mine",0,0,0,2024-10-20
Imperial College London,university,davecl.bsky.social,Dr Dave Clements,"Astrophysicist at Imperial College London. Works with space missions like Herschel and Planck, on extragalactic astronomy, observational cosmology and astrobiology. Ask about phosphine on Venus! Also writes science fiction. Not speaking for anybody",0,0,0,2024-10-20
Imperial College London,university,simonschultz.bsky.social,Simon Schultz,Australian expat neuron wrangler. Professor of Neurotechnology at Imperial College London. Investigates memory and cognition with photons. Runs and rides bikes a lot.,0,0,0,2024-10-20
Imperial College London,university,robinlamboll.bsky.social,Robin Lamboll,"Climate sciences research fellow at Imperial College London. UK poetry slam champion 2019.
https://linktr.ee/rlamboll",0,0,0,2024-10-20
Imperial College London,university,stevoallain.bsky.social,Dr Steven Allain,"The pop-punk herpetologist 🤘 | Anglia Ruskin, Imperial College London, and University of Kent alumnus | Lover of all amphibians and reptiles | First Gen in STEM | Herpetologist ",0,0,0,2024-10-20
Imperial College London,university,otherprofgreen.bsky.social,Tim Green  💨☀️ 🔋 ⚡️💡💻,Professor of Electrical Power Engineering at Imperial College London and Academic Lead for Sustainability. All the drivel that follows is my own personal view. ,0,0,0,2024-10-20
Imperial College London,university,proftomellis.bsky.social,Tom Ellis,Synthetic Biology & Synthetic Genomics @ Imperial College London and the Sanger Institute. Bilingual in English and DNA. Views are either my own or my microbes',0,0,0,2024-10-20
Imperial College London,university,juangallego.bsky.social,Juan Gallego,"Thinking about the brain, spinal cord and how we move (and related neurotech). Into books, music, coffee, food, photography+art, animals & some humans. Group leader at Imperial College London

#neuroskyence #Sensorimotor #compneurosky #Science",0,0,0,2024-10-20
Imperial College London,university,marcotrizzino.bsky.social,Marco Trizzino,"Associate Professor (Senior Lecturer) of Developmental and Evolutionary Genomics at Imperial College London, Department of Life Sciences
https://marcotrizzino.wordpress.com/",0,0,0,2024-10-20
Imperial College London,university,jj255.bsky.social,Julia Schroeder ,"Behavioural revolutionary ecology, quantitative genetics @Imperial College London.🪺🐦‍⬛🐓🐧🦚🍄, islands, hiking, running.
",0,0,0,2024-10-20
Imperial College London,university,kikstra.bsky.social,Jarmo Kikstra,"Research scholar at IIASA. Imperial College London. Contributing author IPCC AR6 WG3 (assessed temperatures of the scenarios). Climate, energy, economics, decent living standards, and justice.",0,0,0,2024-10-20
Imperial College London,university,mpshanahan.bsky.social,Murray Shanahan,Professor at Imperial College London and Principal Scientist at Google DeepMind. Tweeting in a personal capacity. To send me a message please use email,0,0,0,2024-10-20
Imperial College London,university,marcsdionne.bsky.social,Marc Dionne,"Innate immunity, bacterial infection, physiology, microbiology, Drosophila. Poorly focused. Still angry. Professor in Department of Life Sciences and Centre for Bacterial Resistance Biology, Imperial College London.",0,0,0,2024-10-20
Imperial College London,university,drdihal.bsky.social,Kanta Dihal,"Lecturer in Science Communication, Imperial College London. Associate Fellow, Institute for Technology and Humanity, University of Cambridge. Books: AI Narratives, Imagining AI. 🇳🇱🇸🇷🏳️‍🌈",0,0,0,2024-10-20
Imperial College London,university,alexisbarr.bsky.social,Alexis Barr,Cell cycle enthusiast at MRC LMS and Imperial College London,0,0,0,2024-10-20
Imperial College London,university,lukeallsopp.bsky.social,Luke Allsopp,"Lecturer Imperial College London
Microbiology Bacteriology Scientist Biofilm Bacteria Nature T6SS and bacterial competition ",0,0,0,2024-10-20
Imperial College London,university,sarahds.bsky.social,Sarah Dixon Smith,"Researcher at Imperial College London • Historian • PhD in Military Medicine • Blast Injury • Chronic Pain • Applied History • Sometimes Cats, Movies & Spooky Things. And Pastries.",0,0,0,2024-10-20
Imperial College London,university,lowlab.bsky.social,Harry Low’s Lab ,"Bacterial pathogenesis. Antibiotic discovery. Membrane remodelling. Structural biology #cryoEM @Imperial College, London thelowlab.org",0,0,0,2024-10-20
Imperial College London,university,driglar.bsky.social,David Riglar,PI and Sir Henry Dale Research Fellow at Imperial College London and The Francis Crick Institute.,0,0,0,2024-10-20
Imperial College London,university,drmadina.bsky.social,Dr Madina,"Immunologist working in biotech/translational 
science. PhD in zebrafish mucosal and respiratory immunology at Imperial College London.
Co-founder of Black In Immuno. ",0,0,0,2024-10-20
Imperial College London,university,laurencebugeon.bsky.social,Laurence Bugeon,"Scientist at Imperial College London, UK. Immunology, Zebrafish, Inflammation, transcriptomics, gut, lung, fibroblasts 3Rs 🏳️‍🌈🇪🇺She/her",0,0,0,2024-10-20
Imperial College London,university,cosmokeir.bsky.social,Keir Nichols ,Glacial geologist studying the past of Antarctica 🇦🇶 Postdoc - Imperial College London🏔 PhD - Tulane ⚜️ Geographer masquerading as a geologist (he/him),0,0,0,2024-10-20
Imperial College London,university,etheokritoff.bsky.social,Emily Theokritoff,"Research Associate in Climate Damage Attribution at at Imperial College London (Grantham Institute) 🌍 Climate change adaptation, loss and damage & litigation",0,0,0,2024-10-20
Imperial College London,university,jjimenez.bsky.social,Jose Jimenez,"Reader in Synthetic Biology at Imperial College London #synbio and evolution for health, the environment and the circular economy",0,0,0,2024-10-20
Imperial College London,university,dgaboriau.bsky.social,David Gaboriau,"Imaging Scientist at Facility for Imaging by Light Microscopy (FILM), Imperial College London",0,0,0,2024-10-20
Imperial College London,university,shivanim-kc.bsky.social,Dr Shivani Misra ,"Diabetes physician & scientist studying early-onset type 2 diabetes & precision medicine in type 2 diabetes

Consultant in Metabolic Medicine 
Wellcome Trust Investigator 
Imperial College London",0,0,0,2024-10-20
Imperial College London,university,riccard0.bsky.social,Riccardo Sapienza,"Professor of Physics at Imperial College London, exploring light at the nanoscale, trying to make sense of the world, nanophotonic enthusiast - proud dad of 2",0,0,0,2024-10-20
Imperial College London,university,samasher.bsky.social,Sam Asher,"development economist. assoc prof, imperial college london. cofounder devdatalab. india, open data, urbanism, mountains, and celtics",0,0,0,2024-10-20
Imperial College London,university,meganahamilton.bsky.social,Megan Hamilton,Historian • PhD student at King's College London & Imperial War Museum (CDP) • Researching SWW army training across the British Empire • 🇨🇦 living in 🇬🇧,0,0,0,2024-10-20
Imperial College London,university,yozkan.bsky.social,Yusuf Ozkan,"Working at Imperial College London & doing data stuff. PhD researcher at @kcl.ac.uk War Studies in intelligence history. Member of @kcsi.uk Love🚴‍♂️

https://linktr.ee/yusufozkan",0,0,0,2024-10-20
