search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
Innovate UK,funding_org,nateinnovates.bsky.social,Nate Innovates,🚀 Code Crusader | AI Voyager | Space Enthusiast | Bookworm 📚 | Engineering the Future! 💻🌌🚀,0,0,0,2024-10-20
Innovate UK,funding_org,ediparolev.bsky.social,Justin,"Cyclist. One time racer. Novice runner. Waiting for the Great Leap Forward.

UKRI Innovate UK (Wales)
Views are my own, obvs.

Builth, Cymru 🏴󠁧󠁢󠁷󠁬󠁳󠁿",0,0,0,2024-10-20
Innovate UK,funding_org,handle.invalid,Jeff,Jeff | Entrepreneur & Innovator | Driven by emerging trends & innovate solutions | Building the next-gen ventures | Let's unlock the future 🌐 @Jeffpreneur.com ,0,0,0,2024-10-20
Innovate UK,funding_org,hetavrojan.bsky.social,Hetav Rojan ,"Asst. Professor of International Security.
Currently studying how armed groups organize, manage and innovate political violence. 
Ex @deloitte @ecfr @diisdk",0,0,0,2024-10-20
Innovate UK,funding_org,sperea.bsky.social,Sergio Perea,"Software Developer. 🇪🇸

Embracing #CleanCode, #TDD, #XP practices. Fluent in #Python, #Java, #TypeScript & #JavaScript. Let's connect and innovate!

sperea.es",0,0,0,2024-10-20
Innovate UK,funding_org,outtoinnovate.bsky.social,Out to Innovate (formerly NOGLSTP),"A professional society and global community of LGBTQ+ students and professionals in STEM. 🏳️‍🌈 #LGBTQinSTEM 
https://outtoinnovate.org/home
",0,0,0,2024-10-20
Innovate UK,funding_org,d3layd.dennislayden.com,Dennis,"Embracing life's journey as a web developer, marketer, and visual artist. Here to explore, innovate, and create a more equitable future through tech || marketing @ FoolProofLabs.io",0,0,0,2024-10-20
Innovate UK,funding_org,xiann.bsky.social,Christiann ✨ I'm a Bagel (new book!) ,"💖 design, innovate, draw comics, ride a bike, mom AF (she/her) 
🥯 new book I'M A BAGEL! (get yours @ stickycomics.com/im-a-bagel)
🎉 new comic every Tuesday
https://stickycomics.com / https://xiann.com ",0,0,0,2024-10-20
Innovate UK,funding_org,amypeace.bsky.social,Amy Peace,"Innovation Lead -Circular Economy at Innovate UK
Systems/Sustainability/Engineering/Infographics/QuizMaster/Mum
Born@ 339.2ppmCO2
MIChemE FRSA 
My opinions here",0,0,0,2024-10-20
Innovate UK,funding_org,siyasense.bsky.social,SiyaSense ,"Motto: Innovate & Educate

#NFTActivist||#womenintech||#blockchaintech 
Founder NFTIKIBAR @ntikibar|
Highlights: Timepieces Artist⏰|Stratosphere 2022|NFTNYC2023|Jomoeffect by Shira Lazar
Active Platforms: OS|KO|FND|OBJKT

https://linktr.ee/Artbysiya",0,0,0,2024-10-20
Innovate UK,funding_org,sathyam.me,Sathyam Vellal,"Engineer @NVIDIA working on NVIDIA MagLev, Previously @NVIDIAGFN, HPCS @USC, @PayPal. #INFJ.

He/Him. Observing patterns, inspired by people, striving to help and innovate.

@sathyam@tech.lgbt on mastodon
@sathyamvellal everywhere else",0,0,0,2024-10-20
Innovate UK,funding_org,humanitiestufts.bsky.social,Center for Humanities at Tufts,"The Center for the Humanities at Tufts (CHAT) fosters interdisciplinary humanities work in comparative literature, religion, world history, philosophy, classical studies, the humanistic social sciences and the arts, to innovate new research and reflection.",0,0,0,2024-10-20
Innovate UK,funding_org,askadam3.bsky.social,Adam A. Phyall III,"Director Technology, Professional Learning @ Future Ready Schools, ISTE ASCD Board Member, Keynote Speaker, Presenter, Podcaster, Tech Guy. Don't Integrate, Innovate with Technology.",0,0,0,2024-10-20
Innovate UK,funding_org,renatacoelho.bsky.social,Renata Coelho,"Passionate sports enthusiast, with a special love for tennis. Process Owner, developer, and agile specialist, always exploring new ways to innovate. A little quirky for good measure—because who doesn’t love a bit of crazy?",0,0,0,2024-10-20
Innovate UK,funding_org,tarkuslee.bsky.social,Tarkus Lee,"Software Engineer, Dustloop Programmer and Admin, Granblue Fantasy Player, Guilty Gear ML and +R fan. 
I write code and innovate for FGC wikis.",0,0,0,2024-10-20
Innovate UK,funding_org,cmcd-phd.bsky.social,Caitlin ,"Strategist, artist, anthropologist, high school dropout, PhD. Helping the arts, design & cultural sectors innovate with data at Creative Informatics/University of Edinburgh.",0,0,0,2024-10-20
Innovate UK,funding_org,pittso.bsky.social,Mike Pitts ,Deputy Challenge Director at Innovate UK for Net Zero Heat. Welsh. Hypenotic. ChesterSciBar. Catalyst Science Discovery Centre. Passionate about the power of stories and innovation. ,0,0,0,2024-10-20
Innovate UK,funding_org,heidip.bsky.social,Heidi P,"Mom, history teacher, dog mom. Love to innovate my social studies classroom. Happy to live in MA.  [she/her]",0,0,0,2024-10-20
Innovate UK,funding_org,headwaysmatter.bsky.social,RUN MORE BUSES AND TRAINS,"Imitate, don't innovate. Fix the service. The best PR is safe, frequent, and reliable service. Commodify all the transit. @headwaysmatter on Twitter.

",0,0,0,2024-10-20
Innovate UK,funding_org,mustafae.bsky.social,Mustafa Ergisi,"2 / 2

🚀 Building SaaS products | Founder ai2sql.io (AI2sql) 🤖 $1.9K MRR | Sharing insights on Buildinpublic, SaaS, Bootstrapping, NoCode, SQL, GPT4, ChatGPT 💡 | Let's innovate together!

https://linktr.ee/mergisi",0,0,0,2024-10-20
Innovate UK,funding_org,jrhorsting.bsky.social,JR Horsting,"Intrepid Zen Truth Warrior.
I create & produce marketing, educational, & entertainment projects. Develop media & games for intellectual properties & brand clients—a lot of fun & inventive original productions. My goal is to innovate, grow, and achieve.",0,0,0,2024-10-20
