search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
Lancaster University,university,vrooje.net,Brooke Simmons,"Prof. of Astrophysics at Lancaster University. Zooniverse humanitarian and disaster relief lead. People first, then science. She/her",0,0,0,2024-10-20
Lancaster University,university,erikaberenguer.bsky.social,Erika Berenguer,"Tropical #forest ecologist passionate about the Amazon and all its wonders. Member of Rede Amazônia Sustentável. Based at the University of Oxford and Lancaster University. Exploring the blue butterfly after years spent at the blue bird app.
#fire #science",0,0,0,2024-10-20
Lancaster University,university,hane.bsky.social,Hane,"philosopher of medicine who got a gig working in gender affirming healthcare, postdoctoral researcher in philosophy at Lancaster University, former psychiatrist, music maker, keeper of snakes, dad, millennial, he/him

https://hanehtutmaung.weebly.com",0,0,0,2024-10-20
Lancaster University,university,nrennie.bsky.social,Nicola Rennie,"💼 Lecturer in Health Data Science at Lancaster University. 
💻 #RStats | Python. 
🎨 Data visualisation. 
🏃‍♀️ Distance runner. 

Website: https://nrennie.rbind.io/

She/her. Views my own.",0,0,0,2024-10-20
Lancaster University,university,bankfieldbecky.bsky.social,Rebecca Willis,"Climate & energy governance; citizen engagement. Prof at Lancaster Uni. Mostly climate stuff, occasional forays into runs and swims and mountains. Book: https://bristoluniversitypress.co.uk/too-hot-to-handle",0,0,0,2024-10-20
Lancaster University,university,kmcdono.bsky.social,Katie McDonough,"American in the UK. History + DH Lancaster University & The Alan Turing Institute. MapReader. Formerly Living with Machines. Writing a book about people & highways in 18th c. France.

https://www.lancaster.ac.uk/history/about/people/katherine-mcdonough",0,0,0,2024-10-20
Lancaster University,university,aaronwinter.bsky.social,Aaron Winter ,"Sociologist at Lancaster University working on Racism,Terrorism & the Far Right. Co-ed of Identities: Global Studies in Culture & Power. Co-author of Reactionary Democracy: How Racism & the Populist Far Right Became Mainstream (Verso) with Aurelien Mondon",0,0,0,2024-10-20
Lancaster University,university,natkpowell.bsky.social,Nathaniel Powell,"Historian--France, Africa, etc. Honorary Researcher Lancaster University CWD, West Africa Analyst, Oxford Analytica. Author of ""France's Wars in Chad"" https://www.cambridge.org/core/books/frances-wars-in-chad/6B7D8F9C8A81E0A83028C24EA0CF8D28",0,0,0,2024-10-20
Lancaster University,university,catherinewalshe.bsky.social,Catherine Walshe,"Professor of Palliative Care. Nurse. International Observatory on End of Life Care, Lancaster University. Editor, Palliative Medicine. #academicsky #hpm #hapc",0,0,0,2024-10-20
Lancaster University,university,giorgiomotta.bsky.social,Giorgio Motta ,Economist at Lancaster University ,0,0,0,2024-10-20
Lancaster University,university,wallyberry.bsky.social,Jenni Hyde,Singing researcher into #earlymodern ballads at Lancaster University. Historical Association Trustee and Social History Society Secretary ,0,0,0,2024-10-20
Lancaster University,university,rfoucart.bsky.social,Renaud Foucart,"Economist at Lancaster University. IO, Public, environment, experiments. renaudfoucart.com",0,0,0,2024-10-20
Lancaster University,university,justinjhlo.bsky.social,Justin Lo,"Phonetician @ Lancaster University. Socio- and bilingual phonetics, forensic speech science, all about voice and identity.
I talk about trains a lot. You have been warned.",0,0,0,2024-10-20
Lancaster University,university,catherinespooner.bsky.social,Catherine Spooner ,"Academic and creative writer | Professor of Literature and Culture, Lancaster University | all things Gothic | fashion | folk horror | she/her",0,0,0,2024-10-20
