search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
Leverhulme Trust,funding_org,fgenovese.bsky.social,Federica Genovese,"Political scientist at University of Oxford • Leverhulme Trust awardee • cross-national policy, political economy, politics of climate and crises • mom of 2 • she/her

https://www.federica-genovese.com/",0,0,0,2024-10-20
Leverhulme Trust,funding_org,ymalhi.bsky.social,Yadvinder Malhi,"Prof of Ecosystem Science, loves tropical forests; Director Leverhulme Centre for @NatureRecovery; Trustee @NHM_London; past-President of @BritishEcolSoc; CBE FRS",0,0,0,2024-10-20
Leverhulme Trust,funding_org,warstudent.bsky.social,Will Reynolds,Doctor in War Studies | Leverhulme Trust Scholar with KCL Centre for Grand Strategy and Kings Japan Programme - Anglo-Japanese grand strategy post-45 🇬🇧🇯🇵| Views my own,0,0,0,2024-10-20
Leverhulme Trust,funding_org,dstibbardhawkes.bsky.social,Duncan Stibbard Hawkes,Anthropologist interested in hunter-gatherer egalitarianism | Asst Prof and Leverhulme Trust ECF at Durham Anth | Posts & spelling errors my own.,0,0,0,2024-10-20
Leverhulme Trust,funding_org,materialwills.bsky.social,The Material Culture of Wills Project,"The Material Culture of Wills, England 1540-1790: a Leverhulme Trust project using digital tech & volunteers to transcribe 25,000 wills. 

Volunteer for us: https://www.zooniverse.org/projects/hjsmith/the-material-culture-of-wills-england-1540-1790",0,0,0,2024-10-20
Leverhulme Trust,funding_org,mattjope.bsky.social,Matt Jope,"Philosopher interested in epistemic closure, trust & risk. Leverhulme Trust Early Career Researcher at the University of Edinburgh. 

mattjope.weebly.com",0,0,0,2024-10-20
Leverhulme Trust,funding_org,spparkle.bsky.social,Katie Bank,"music + art in early modern England | Leverhulme Trust ECF @ Uni Bham | fa la la | ByrdCentral.com | ye olde pineapples | tech stuff too | KatieBankmusic.com | she/her
",0,0,0,2024-10-20
Leverhulme Trust,funding_org,leverhulme.bsky.social,Leverhulme Trust,,0,0,0,2024-10-20
Leverhulme Trust,funding_org,fegbutcher.bsky.social,Frances Butcher,"Planetary Scientist & Glacial Geomorphologist (Mars & Earth)
Leverhulme Trust Early Career Research Fellow, University of Sheffield, UK. 
Views own. She/her.",0,0,0,2024-10-20
Leverhulme Trust,funding_org,gioli.bsky.social,Giovanna Gioli 🍉,"Senior Lecturer in Human Geography | Co-I  Leverhulme Trust project ""Digital Climate Futures"" | Co-Editor/Translator ""Thinking as Anarchists: Selected Writings from Volontá""
'The educator has the duty of not being neutral'.

  
https://linktr.",0,0,0,2024-10-20
Leverhulme Trust,funding_org,hannah-boston.bsky.social,Hannah Boston,"Leverhulme Trust Early Career Fellow at University of Lincoln. Creating corpus of Lincs and Shrops private charters, 1000-1307; loyalty, property, and regional society. Occasional archaeologist",0,0,0,2024-10-20
Leverhulme Trust,funding_org,nlwillson.bsky.social,Dr Nicole Willson,Haiti/Black Atlantic scholar. Lapsed lindy-hopper. Retro threads and nice dinners. Leverhulme Trust ECR based at the University of Central Lancashire's Institute for Black Atlantic Research excavating the histories of Haiti's #fanmrebèl. www.fanmrebel.com,0,0,0,2024-10-20
Leverhulme Trust,funding_org,geomorphicjosh.bsky.social,Josh Ahmed,"Leverhulme Trust Research Fellow @ Energy and Environment Institute (UK). Geomorphologist, Space Observer, Meandering Rivers, Oxbow Lakes, Soils, & Mars. ",0,0,0,2024-10-20
Leverhulme Trust,funding_org,jesussanjurjo.bsky.social,Dr Jesús Sanjurjo,Leverhulme & Isaac Newton trusts Fellow at the University of Cambridge & Corpus Christi College | FRHistS | Author of 𝙄𝙣 𝙩𝙝𝙚 𝘽𝙡𝙤𝙤𝙙 𝙤𝙛 𝙊𝙪𝙧 𝘽𝙧𝙤𝙩𝙝𝙚𝙧𝙨 | 🏳️‍🌈,0,0,0,2024-10-20
Leverhulme Trust,funding_org,rfergussonpoet.bsky.social,Robert Fergusson (1750-74),"'The Works of Robert Fergusson: Reconstructing Textual and Cultural Legacies', Leverhulme Trust-funded project at University of Glasgow
PI Prof Rhona Brown.",0,0,0,2024-10-20
Leverhulme Trust,funding_org,profjohngardner.bsky.social,John Gardner,Professor of English Literature and Dean of the Doctoral School at ARU. Working on www.engineeringromanticism.com a Leverhulme Trust Research Project. ,0,0,0,2024-10-20
Leverhulme Trust,funding_org,caterose.bsky.social,Catherine-Rose Hailstone ,Historian of late antiquity and Gregory of Tours at Durham University. Currently working on a Leverhulme Trust project on Emotional Architectures: Atmospheres of Power in Late Antique Churches. ,0,0,0,2024-10-20
Leverhulme Trust,funding_org,daviderigo.bsky.social,Davide Rigo ,"Leverhulme Trust fellow at the London School of Economics. Researching the impact of work from home on the geography of jobs, firms and innovation. First gen. ",0,0,0,2024-10-20
Leverhulme Trust,funding_org,crispianfuller.bsky.social,Crispian Fuller,"Urban and economic geographer: urban governance and politics, austerity, corporations and global production networks. Leverhulme Trust PI Local government civic enforcement impacts project.",0,0,0,2024-10-20
Leverhulme Trust,funding_org,profturner.bsky.social,Prof Catherine Turner,Professor of Law @ Durham University. Leverhulme Trust Fellow 2023/24. What is the meaning of peace? 🕊️,0,0,0,2024-10-20
