search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
Loughborough University,university,duncanrobertson.bsky.social,Dr Duncan Robertson,"Policy & Strategy Analytics academic at Loughborough University; Fellow, St Catherine's College, Oxford. Focusing on COVID-19 Member, @IndependentSage.",0,0,0,2024-10-20
Loughborough University,university,profcoe.bsky.social,Rob Coe,"Director of R&D at Evidence Based Education; Senior Associate at Education Endowment Foundation; Visiting Professor at Loughborough University. 
Former maths teacher and professor of education ",0,0,0,2024-10-20
Loughborough University,university,beki.bsky.social,b,"Lecturer and economic geographer at Loughborough University. I research disaster governance and risk, social studies of finance, and critical perspectives on development. PhD UC Berkeley. Spanglish. Birds. Books. Film. ☕️ bekimcelvain.com

📍 SF | MX | UK",0,0,0,2024-10-20
Loughborough University,university,lizziegadd.bsky.social,Elizabeth Gadd,Research Culture & Assessment Loughborough University; Chair INORMS Research Evaluation Group; Vice-Chair CoARA; ARMA Res Eval SIG; Founder LIS-Bibliometrics; She/her;,0,0,0,2024-10-20
Loughborough University,university,joshmilburn.bsky.social,Josh Milburn,"Lecturer in Political Philosophy at Loughborough University. Books: Just Fodder (McGill-Queen's, 2022) and Food, Justice, and Animals (Oxford, 2023). Host of the podcast Knowing Animals. Website: https://josh-milburn.com/",0,0,0,2024-10-20
Loughborough University,university,profchadwick.bsky.social,Professor Andrew Chadwick,"Prof, Dept of Communication & Media; Director, Online Civic Culture Centre, Loughborough University. PI: Everyday Misinformation Project. Ed. Oxford Studies in Digital Politics. Resuming active social media here... slowly. www.andrewchadwick.com",0,0,0,2024-10-20
Loughborough University,university,jadefrench.bsky.social,Jade ,"Researching modernist/post-war lit, ageing and care at Loughborough University. Co-founder of arts platform Decorating Dissidence 🧶",0,0,0,2024-10-20
Loughborough University,university,camillakgilmore.bsky.social,Camilla Gilmore,Mathematical cognition and early mathematics research at Loughborough University UK,0,0,0,2024-10-20
Loughborough University,university,krzysztofcipora.bsky.social,Krzysztof Cipora,"PhD in psychology, numerical cognition and research methods. Lecturer at Loughborough University, UK",0,0,0,2024-10-20
Loughborough University,university,drjwharrison.bsky.social,John Harrison,"Urban and Regional Geographer @ Geography & Environment, Loughborough University | Associate Director - Globalization and World Cities (GaWC) Research Network | Deputy Editor-in-Chief of Regional Studies | Regional Studies Association Board Member",0,0,0,2024-10-20
Loughborough University,university,coppertapestry.bsky.social,Joanna Turner,Literary Detective (PhD Researcher) at Loughborough University. I know a little bit about Marie Corelli. Currently writing the Corelli volume for the Key Popular Women Writers series. https://www.lboro.ac.uk/subjects/english/staff/joanna-turner/,0,0,0,2024-10-20
Loughborough University,university,msadams.bsky.social,Matthew Adams,Historian of political thought at Loughborough University. Co-editor of Anarchist Studies (@anarchistsudies.bsky.social). ,0,0,0,2024-10-20
Loughborough University,university,bulphan.bsky.social,Rich Goodman,"Learning Technology Team Manager, Loughborough University.
Walker, cyclist, geocacher, gardener, Wainwrighter (191/214).
Cook and food lover.
Beer lover.
Whisky lover.",0,0,0,2024-10-20
Loughborough University,university,allanwatson1.bsky.social,Allan Watson,"Reader in Economic Geography, Loughborough University ",0,0,0,2024-10-20
Loughborough University,university,avkevins.bsky.social,Anthony Kevins,Political scientist studying how public opinion and policy interact. Senior Lecturer in Politics and International Studies at Loughborough University.,0,0,0,2024-10-20
Loughborough University,university,biomechstu.bsky.social,Stuart McErlain-Naylor,"Sports biomechanist at Loughborough University, UK 🎓 Sharing things I find interesting or useful 👍🏻 YouTube lectures/tutorials: http://tinyurl.com/biomechYT 📽️ DMs open ✉",0,0,0,2024-10-20
Loughborough University,university,sarah-mills.bsky.social,Sarah Mills,"Professor of Human Geography at Loughborough University
 | Children | Youth | Education | Gaming | Gambling | Volunteering | Citizenship | ",0,0,0,2024-10-20
Loughborough University,university,danielbreeze.com,Daniel Breeze,"PhD @ Loughborough University : an animal-human history of vegetarians in Britain, 1850-1939. Also: env hum, Vic studies, emotions. Editor @ RRR Journal. He/him. danielbreeze.com",0,0,0,2024-10-20
Loughborough University,university,colinfoster77.bsky.social,Colin Foster,"Reader in Mathematics Education in the Department of Mathematics Education at Loughborough University, UK

www.foster77.co.uk",0,0,0,2024-10-20
Loughborough University,university,laalaajenkins.bsky.social,Laura Jenkins,"Research Fellow at Loughborough University: communication; conversation analysis; children and young people; youth justice; medical interactions.

Also occupied with painting, cycling, and home educating.",0,0,0,2024-10-20
Loughborough University,university,simov.bsky.social,Simone Varriale,"Sociologist at Loughborough University. New book on Unequal EU Migrations (https://bristoluniversitypress.co.uk/coloniality-and-meritocracy-in-unequal-eu-migrations). Still on X (@franklyMrS)

Class, migration, race, culture, music. Migrant cook. He/him. ",0,0,0,2024-10-20
Loughborough University,university,millykateh.bsky.social,Milly Kate Harrison,"Aspiring Victorian Bachelor • PhD on Weird Fiction & Queer Masculinity, 1890-1914 (Loughborough University)",0,0,0,2024-10-20
Loughborough University,university,wvmierlo.bsky.social,Wim Van Mierlo,"https://linktr.ee/wimvanmierlo

Senior Lecturer in English at Loughborough University
President of the European Society for Textual Scholarship
Photographer",0,0,0,2024-10-20
Loughborough University,university,mjinglis.bsky.social,Matthew Inglis,Academic at Loughborough University,0,0,0,2024-10-20
Loughborough University,university,jonomorgan.bsky.social,Jonathan Morgan,PhD Researcher at Loughborough University : Policy influences on the use of MMC in English house building.,0,0,0,2024-10-20
