search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
MRC,Funders and research programmes,mrcarte.bsky.social,MRC Arte,"Artist | Collector 

The 1/1 collection ⬇️ 

https://foundation.app/collection/mrc-0ff8",0,0,0,2024-10-20
MRC,Funders and research programmes,orbenamy.bsky.social,Amy Orben,"tech + teens + better science @ http://digitalmentalhealth.group // Group Leader, MRC Cognition and Brain Sciences Unit, University of Cambridge // Fellow + Director of Studies, St. John's College // 📸 marcus ginns",0,0,0,2024-10-20
MRC,Funders and research programmes,mrchonks.chonkstv.com,mrchonks,"youtube 
https://youtube.com/@mrchonks",0,0,0,2024-10-20
MRC,Funders and research programmes,maruco.bsky.social,まるこ,"Do not reupload | 転用転載・生成AI学習への使用厳禁
日常・二次創作｜五七｜赤安

※おたくアカです。同傾向のおたく外と思われる方がフォロー、いいね等された場合Bする可能性があります

ｸﾛｽﾌｫﾘｵ ▷ https://xfolio.jp/portfolio/mrc
次回ｲﾍﾞﾝﾄ 予定▷ 未定",0,0,0,2024-10-20
MRC,Funders and research programmes,mrcaio.bsky.social,Caio 🪑,"🎙️ Streamer
🧑‍💻 Programador
🏴‍☠️ OPEX
🚩 Comunista

""If more of us valued food and cheer and song above hoarded gold, it would be a merrier world""

🟣 twitch.tv/mrcaio",0,0,0,2024-10-20
MRC,Funders and research programmes,mrchrisadams.bsky.social,Chris Adams,"Science & justice. Also: coffee, cities, UX & code. Aghast at all the typos in my tweets. I'm an organiser at climateAction.tech, and I work at The Green Web Foundation. He/Him.
@mrchrisadams on most of the social networks",0,0,0,2024-10-20
MRC,Funders and research programmes,lapassmore.bsky.social,Lori Passmore,Molecular biologist. Group leader at MRC LMB Cambridge UK. ,0,0,0,2024-10-20
MRC,Funders and research programmes,cellbiol-mrclmb.bsky.social,MRC-LMB Cell Biology Division,"Our aim is to understand the biological organisation of cells and organisms, and the molecular mechanisms underlying their function. https://www2.mrc-lmb.cam.ac.uk/research/cell-biology/",0,0,0,2024-10-20
MRC,Funders and research programmes,mrco.bsky.social,marco cornacchia,i get computers ‘puting ✸ design at Diagram,0,0,0,2024-10-20
MRC,Funders and research programmes,memorycontrol.bsky.social,Michael C. Anderson,"Neuroscientist at MRC Cognition an Brain Sciences Unit at the University of Cambridge, studying memory, cognitive control, and mechanisms of adaptive forgetting",0,0,0,2024-10-20
MRC,Funders and research programmes,mrcourtney.bsky.social,Mark R. Courtney,"software developer, photographer, writer, nature wanderer, ponderer
https://me.mrcourtney.com

photos by me unless otherwise noted; prints available at https://photo.mrcourtney.com or by contacting me",0,0,0,2024-10-20
MRC,Funders and research programmes,mrchan.org,i'm mrchan / immrchan,"Mostly Centretown, sometimes Town Centre",0,0,0,2024-10-20
MRC,Funders and research programmes,cilialab.bsky.social,Mill_lab,"Group at MRC HGU using genetics, cell biology and lots of imaging to unlock the mysteries of mammalian #cilia. Also on the otherside: @Mill_lab@mstdn.social and @Mill_lab on the bird site! #cilia. #centrioles #cytoskeleton #RareDisease www.cilialab.co.uk",0,0,0,2024-10-20
MRC,Funders and research programmes,mrcocoart.bsky.social,Mr.Coco 🥥🔞,"I draw wholesome girls getting bigger. 🤎🥥

https://linktr.ee/mrcocoart",0,0,0,2024-10-20
MRC,Funders and research programmes,hallben.bsky.social,Ben Hall,"Professor in computational cancer biology at UCL interested disease, mutations, and aging. Funded by CRUK, MRC and Royal Society.

Personal account for science, code, music, photography! “Tired is the new awake”",0,0,0,2024-10-20
MRC,Funders and research programmes,lizmillercu.bsky.social,Liz Miller,"Cell Biologist at MRC-LMB and University of Dundee, formerly at Columbia University. Interested in membrane traffic, protein quality control. Opinions my own. She/her.",0,0,0,2024-10-20
MRC,Funders and research programmes,mrcheeze.github.io,MrCheeze,"I reverse engineer games, etc. Also found elsewhere on the internet: https://mrcheeze.github.io/",0,0,0,2024-10-20
MRC,Funders and research programmes,mrcheesedong.bsky.social,MrCheeseDong,I try to do art,0,0,0,2024-10-20
MRC,Funders and research programmes,mrchokeyourneck.bsky.social,Josue ,"Horny on main, California, follow me on Ig josuuue and snap otterrawvers. Free Palestine 🇵🇸 ",0,0,0,2024-10-20
MRC,Funders and research programmes,elliottwimmer.bsky.social,Elliott Wimmer,"interested in how we learn and later use knowledge in decisions, and how those processes can go awry in psychiatric disorders. LMDlab @UCL, MRC fellow.",0,0,0,2024-10-20
MRC,Funders and research programmes,mrcepid.bsky.social,MRC Epidemiology Unit,"Studying the genetic, developmental & environmental determinants of obesity, type 2 diabetes & related metabolic disorders. Contributing to their prevention.",0,0,0,2024-10-20
MRC,Funders and research programmes,jaquent.bsky.social,Jörn Alexander Quent,Currently working with in #Shanghai | PhD from MRC-CBU/Cambridge Uni | Gates Cambridge | interested in neuroscience of memory  | call me Alex,0,0,0,2024-10-20
MRC,Funders and research programmes,mrcalabresa.bsky.social,MrCalabresa,"Mr. Calabresa ⚽ | Scouting de futebol 🎯 | Dados, estatísticas e achados de 'jóias perdidas' ao redor do mundo 🌍 | Olho em wonderkids 🔥 | #VaiCorinthians

",0,0,0,2024-10-20
