search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
NIHR ARC East Midlands,Funders and research programmes,neilchadborn.bsky.social,Neil Chadborn,"Researcher at University of Nottingham & NIHR Applied Research Collaboration East Midlands.
Interested in dementia, inequalities & digital #publichealthsky #gerontology",0,0,0,2024-10-20
NIHR ARC East Midlands,Funders and research programmes,arc-west.bsky.social,NIHR Applied Research Collaboration (ARC) West,The NIHR Applied Research Collaboration (ARC) West is one of 15 @nihrarcs.bsky.social funded by the National Institute for Health and Care Research (@nihr.bsky.social). We work with our partners in the West of England on applied health and care research ,0,0,0,2024-10-20
NIHR ARC East Midlands,Funders and research programmes,penarc.bsky.social,PenARC (NIHR ARC South West Peninsula),"One of 15 Applied Research Collaborations (@nihrarcs.bsky.social) funded by (@nihr.bsky.social).

We support applied health & care research across Cornwall, Devon, Somerset, and beyond.

More from us: linktr.ee/nihrpenarc",0,0,0,2024-10-20
NIHR ARC East Midlands,Funders and research programmes,vickigphysio.bsky.social,Vicki Goodwin ,Clinical academic physio. Professor at University of Exeter. NIHR Senior Investigator. Frailty. falls. Community rehab,0,0,0,2024-10-20
NIHR ARC East Midlands,Funders and research programmes,oldertrialsprof.bsky.social,Miles Witham,"Academic geriatrician; NIHR Newcastle BRC and HRC; BGS vice-president for research. Ageing, Sarcopenia, MLTC, better trials for and with older people, big data and a dash of global health.",0,0,0,2024-10-20
NIHR ARC East Midlands,Funders and research programmes,reval-uom.bsky.social,REVAL,"REVAL is a NIHR Rapid Service Evaluation Team based at the University of Manchester.

https://sites.manchester.ac.uk/reval/",0,0,0,2024-10-20
NIHR ARC East Midlands,Funders and research programmes,nadakhan.bsky.social,Nada Khan,"NIHR Academic Clinical Lecturer in General Practice at the University of Exeter, Associate Editor of the BJGP, GP, and Clinical Data Quality Lead at the CPRD. More importantly to me: Mum, and surfer.",0,0,0,2024-10-20
NIHR ARC East Midlands,Funders and research programmes,stuarthaylock.bsky.social,Stuart Haylock ,Did my Milkshake bring you here? Research Manager at the NIHR. Former PhD. Musical Obsessive. Huge Geek. Gaymer. Innuendo Extraordinaire. Shiba Dog Dad. He/Him.,0,0,0,2024-10-20
NIHR ARC East Midlands,Funders and research programmes,oxhealthbrc.bsky.social,NIHR Oxford Health Biomedical Research Centre ,"The OH BRC, based at  Oxford Health NHS FT is run in partnership with University of Oxford with 13 partner university and NHS Trusts across England.",0,0,0,2024-10-20
NIHR ARC East Midlands,Funders and research programmes,arc-wm.bsky.social,NIHR ARC West Midlands,"Supporting applied health and care research for local populations in the West Midlands. One of 15 regional @nihr.bsky.social Applied Research Collaborations  – @nihrarcs.bsky.social
",0,0,0,2024-10-20
NIHR ARC East Midlands,Funders and research programmes,sabiredwood.bsky.social,Sabi Redwood,Professor of Social Science Applied to Health and Care at the University of Bristol Medical School; NIHR Applied Research Collaboration West implementation lead and acting director. Researching implementation and inequalities using qualitative methods.,0,0,0,2024-10-20
