search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
NIHR ARC Kent,Funders and research programmes,arc-west.bsky.social,NIHR Applied Research Collaboration (ARC) West,The NIHR Applied Research Collaboration (ARC) West is one of 15 @nihrarcs.bsky.social funded by the National Institute for Health and Care Research (@nihr.bsky.social). We work with our partners in the West of England on applied health and care research ,0,0,0,2024-10-20
NIHR ARC Kent,Funders and research programmes,penarc.bsky.social,PenARC (NIHR ARC South West Peninsula),"One of 15 Applied Research Collaborations (@nihrarcs.bsky.social) funded by (@nihr.bsky.social).

We support applied health & care research across Cornwall, Devon, Somerset, and beyond.

More from us: linktr.ee/nihrpenarc",0,0,0,2024-10-20
NIHR ARC Kent,Funders and research programmes,arc-wm.bsky.social,NIHR ARC West Midlands,"Supporting applied health and care research for local populations in the West Midlands. One of 15 regional @nihr.bsky.social Applied Research Collaborations  – @nihrarcs.bsky.social
",0,0,0,2024-10-20
NIHR ARC Kent,Funders and research programmes,sabiredwood.bsky.social,Sabi Redwood,Professor of Social Science Applied to Health and Care at the University of Bristol Medical School; NIHR Applied Research Collaboration West implementation lead and acting director. Researching implementation and inequalities using qualitative methods.,0,0,0,2024-10-20
NIHR ARC Kent,Funders and research programmes,rjlhardwick.bsky.social,Rebecca Hardwick ,"Mental health researcher, co-lead for NIHR Mental Health Research Initiative in the South West Peninsula, (un)committed trail runner, childless cat lady, some time surfer and singer.  ",0,0,0,2024-10-20
NIHR ARC Kent,Funders and research programmes,arcnwc.bsky.social,Applied Research Collaboration North West Coast (ARC NWC),"NIHR ARC North West Coast is one of 15 @nihrarcs.bsky.social
funded by the National Institute for Health and Care Research (@nihr.bsky.social). We work with our partners in the North West of England on applied health and care research.",0,0,0,2024-10-20
NIHR ARC Kent,Funders and research programmes,csrejon.bsky.social,Carlos,PhD. Researcher at the University of Bristol and part of the health economic team at NIHR ARC West (@arc-west.bsky.social). Interested in implementation science.,0,0,0,2024-10-20
NIHR ARC Kent,Funders and research programmes,gbjornstad.bsky.social,Gretchen Bjornstad,Senior Lecturer at the University of Exeter Medical School and NIHR ARC South West Peninsula. ,0,0,0,2024-10-20
NIHR ARC Kent,Funders and research programmes,digitallifeline.bsky.social,Digital Lifeline Research ,"Updates from #DigitalLifeline project at Manchester Met Uni, in collaboration ARC, Good Things Foundation, LDE, and SeeAbility. Funded by NIHR",0,0,0,2024-10-20
NIHR ARC Kent,Funders and research programmes,stuartgspicer.bsky.social,Stuart G. Spicer,"Healthcare & psychological researcher at NIHR ARC South West & Plymouth University. Hiking enthusiast & nature lover often found on Dartmoor. 
orcid.org/0000-0001-7585-8886 
www.researchgate.net/profile/Stuart-Spicer",0,0,0,2024-10-20
