search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
NIHR ARC West Midlands,Funders and research programmes,neilchadborn.bsky.social,Neil Chadborn,"Researcher at University of Nottingham & NIHR Applied Research Collaboration East Midlands.
Interested in dementia, inequalities & digital #publichealthsky #gerontology",0,0,0,2024-10-20
NIHR ARC West Midlands,Funders and research programmes,arc-west.bsky.social,NIHR Applied Research Collaboration (ARC) West,The NIHR Applied Research Collaboration (ARC) West is one of 15 @nihrarcs.bsky.social funded by the National Institute for Health and Care Research (@nihr.bsky.social). We work with our partners in the West of England on applied health and care research ,0,0,0,2024-10-20
NIHR ARC West Midlands,Funders and research programmes,nihr.bsky.social,NIHR,"National Institute for Health and Care Research - we fund, enable and deliver world-leading health and social care research that improves people's health and wellbeing, and promotes economic growth.

Impact, Innovation, Investment, Inclusion",0,0,0,2024-10-20
NIHR ARC West Midlands,Funders and research programmes,nihrarcs.bsky.social,NIHR Applied Research Collaborations (ARCs),"We are the network of 15 NIHR (@nihr.bsky.social) Applied Research Collaborations (ARCs)
ARCs support applied health and care research across the country
💙
linktree: linktr.ee/nihrarcs
e-newsletter: tinyurl.com/ARCsnewsletter
website: tinyurl.com/NIHRARCs",0,0,0,2024-10-20
NIHR ARC West Midlands,Funders and research programmes,penarc.bsky.social,PenARC (NIHR ARC South West Peninsula),"One of 15 Applied Research Collaborations (@nihrarcs.bsky.social) funded by (@nihr.bsky.social).

We support applied health & care research across Cornwall, Devon, Somerset, and beyond.

More from us: linktr.ee/nihrpenarc",0,0,0,2024-10-20
NIHR ARC West Midlands,Funders and research programmes,bristolbrc.bsky.social,NIHR Bristol Biomedical Research Centre (BRC),The Bristol Biomedical Research Centre is led by University Hospitals Bristol and Weston NHS Foundation Trust in partnership with the University of Bristol. We're funded by @nihr.bsky.social (National Institute for Health and Care Research),0,0,0,2024-10-20
NIHR ARC West Midlands,Funders and research programmes,arc-southlondon.bsky.social,NIHR Applied Research Collaboration (ARC) South London ,"The Applied Research Collaboration (ARC) South London is one of 15 
@nihrarcs.bsky.social
We work with our partners on applied health and care research.",0,0,0,2024-10-20
NIHR ARC West Midlands,Funders and research programmes,arc-nwl.bsky.social,NIHR ARC Northwest London (NWL),The NIHR Applied Research Collaboration (ARC) Northwest London is one of 15 @nihrarcs.bsky.social funded by the National Institute for Health and Care Research (@nihr.bsky.social). We work with local partners in Northwest London on applied health and care.,0,0,0,2024-10-20
NIHR ARC West Midlands,Funders and research programmes,arc-yharc.bsky.social,NIHR ARC Yorkshire & Humber,The NIHR ARC Yorkshire & Humber is one of 15 @nihrarcs.bsky.social funded by the National Institute for Health and Care Research (@nihr.bsky.social). We work with our partners in Yorkshire & Humber on applied health and care research,0,0,0,2024-10-20
NIHR ARC West Midlands,Funders and research programmes,arc-wm.bsky.social,NIHR ARC West Midlands,"Supporting applied health and care research for local populations in the West Midlands. One of 15 regional @nihr.bsky.social Applied Research Collaborations  – @nihrarcs.bsky.social
",0,0,0,2024-10-20
NIHR ARC West Midlands,Funders and research programmes,sabiredwood.bsky.social,Sabi Redwood,Professor of Social Science Applied to Health and Care at the University of Bristol Medical School; NIHR Applied Research Collaboration West implementation lead and acting director. Researching implementation and inequalities using qualitative methods.,0,0,0,2024-10-20
NIHR ARC West Midlands,Funders and research programmes,arc-em.bsky.social,NIHR ARC East Midlands,"The NIHR ARC East Midlands is one of 15 ARCs (@nihrarcs.bsky.social) supporting applied health and care research, funded by the National Institute for Health and Care Research (@nihr.bsky.social).",0,0,0,2024-10-20
NIHR ARC West Midlands,Funders and research programmes,arcnenc.bsky.social,NIHR Applied Research Collaboration North East & North Cumbria,"Working together to achieve better, fairer health and care at all ages and in all places. One of 15 Applied Research Collaborations (ARCs) @nihrarcs.bsky.social in England. Funded by @nihr.bsky.social

Visit our website at www.arc-nenc.nihr.ac.uk",0,0,0,2024-10-20
NIHR ARC West Midlands,Funders and research programmes,rjlhardwick.bsky.social,Rebecca Hardwick ,"Mental health researcher, co-lead for NIHR Mental Health Research Initiative in the South West Peninsula, (un)committed trail runner, childless cat lady, some time surfer and singer.  ",0,0,0,2024-10-20
NIHR ARC West Midlands,Funders and research programmes,ajlittlewood.bsky.social,Alison Littlewood,"NIHR Applied Research Collaboration Greater Manchester Programme Manager. Interested in research helping people to age well and live well #healthyageing 
Amateur ceramicist 🏺and scuba diving enthusiast 🐠. Love to travel 🌎. 
Views my own. ",0,0,0,2024-10-20
NIHR ARC West Midlands,Funders and research programmes,arcnwc.bsky.social,Applied Research Collaboration North West Coast (ARC NWC),"NIHR ARC North West Coast is one of 15 @nihrarcs.bsky.social
funded by the National Institute for Health and Care Research (@nihr.bsky.social). We work with our partners in the North West of England on applied health and care research.",0,0,0,2024-10-20
NIHR ARC West Midlands,Funders and research programmes,nihrmaudsleybrc.bsky.social,NIHR Maudsley Biomedical Research Centre (BRC),"We are part of the National Institute for Health and Care Research and hosted by South London and Maudsley NHS Foundation Trust in partnership with King's College London. www.maudsleybrc.nihr.ac.uk
 ",0,0,0,2024-10-20
NIHR ARC West Midlands,Funders and research programmes,csrejon.bsky.social,Carlos,PhD. Researcher at the University of Bristol and part of the health economic team at NIHR ARC West (@arc-west.bsky.social). Interested in implementation science.,0,0,0,2024-10-20
NIHR ARC West Midlands,Funders and research programmes,gbjornstad.bsky.social,Gretchen Bjornstad,Senior Lecturer at the University of Exeter Medical School and NIHR ARC South West Peninsula. ,0,0,0,2024-10-20
NIHR ARC West Midlands,Funders and research programmes,mutantbug.bsky.social,Matthew Avison,"Molecular Bacteriologist, University of Bristol.
Research funded by UKRI, NIHR and Welsh Government.
Medical Research Foundation National AMR PhD Training Programme lead.
Ex Twitter:  https://twitter.com/MutantBug",0,0,0,2024-10-20
NIHR ARC West Midlands,Funders and research programmes,digitallifeline.bsky.social,Digital Lifeline Research ,"Updates from #DigitalLifeline project at Manchester Met Uni, in collaboration ARC, Good Things Foundation, LDE, and SeeAbility. Funded by NIHR",0,0,0,2024-10-20
NIHR ARC West Midlands,Funders and research programmes,nihrhapru.bsky.social,NIHR Policy Research Unit in Healthy Ageing (NIHR HAPRU),"The National Institute for Health and Care Research (NIHR) Policy Research Unit in Healthy Ageing aims to produce timely, high-quality evidence for policymakers. We are a collaboration between Newcastle University, The University of Manchester and the LSE.",0,0,0,2024-10-20
NIHR ARC West Midlands,Funders and research programmes,stuartgspicer.bsky.social,Stuart G. Spicer,"Healthcare & psychological researcher at NIHR ARC South West & Plymouth University. Hiking enthusiast & nature lover often found on Dartmoor. 
orcid.org/0000-0001-7585-8886 
www.researchgate.net/profile/Stuart-Spicer",0,0,0,2024-10-20
