search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
NIHR Applied Research Collaborations (ARCs),Funders and research programmes,neilchadborn.bsky.social,Neil Chadborn,"Researcher at University of Nottingham & NIHR Applied Research Collaboration East Midlands.
Interested in dementia, inequalities & digital #publichealthsky #gerontology",0,0,0,2024-10-20
NIHR Applied Research Collaborations (ARCs),Funders and research programmes,arc-west.bsky.social,NIHR Applied Research Collaboration (ARC) West,The NIHR Applied Research Collaboration (ARC) West is one of 15 @nihrarcs.bsky.social funded by the National Institute for Health and Care Research (@nihr.bsky.social). We work with our partners in the West of England on applied health and care research ,0,0,0,2024-10-20
NIHR Applied Research Collaborations (ARCs),Funders and research programmes,nihrarcs.bsky.social,NIHR Applied Research Collaborations (ARCs),"We are the network of 15 NIHR (@nihr.bsky.social) Applied Research Collaborations (ARCs)
ARCs support applied health and care research across the country
💙
linktree: linktr.ee/nihrarcs
e-newsletter: tinyurl.com/ARCsnewsletter
website: tinyurl.com/NIHRARCs",0,0,0,2024-10-20
NIHR Applied Research Collaborations (ARCs),Funders and research programmes,penarc.bsky.social,PenARC (NIHR ARC South West Peninsula),"One of 15 Applied Research Collaborations (@nihrarcs.bsky.social) funded by (@nihr.bsky.social).

We support applied health & care research across Cornwall, Devon, Somerset, and beyond.

More from us: linktr.ee/nihrpenarc",0,0,0,2024-10-20
NIHR Applied Research Collaborations (ARCs),Funders and research programmes,arcwessex.bsky.social,NIHR ARC Wessex,NIHR Applied Research Collaboration Wessex 1 of 15 ARCs supporting applied health & care research in England https://linktr.ee/ARCWessex ,0,0,0,2024-10-20
NIHR Applied Research Collaborations (ARCs),Funders and research programmes,gjsathyamoorthy.bsky.social,Ganesh Sathyamoorthy,"Interested in Health Improvement, Research, making a positive change in the NHS.  Assistant Director NIHR Applied Research Collaboration Northwest London & Deputy Director of the Ethnicty & Health Unit. Outside work kids football coach and part-time runner",0,0,0,2024-10-20
NIHR Applied Research Collaborations (ARCs),Funders and research programmes,arc-gm.bsky.social,NIHR ARC Greater Manchester,The National Institute for Health and Care Research (NIHR) Applied Research Collaboration Greater Manchester (ARC-GM) is one of 15 regional NIHR ARCs. ,0,0,0,2024-10-20
NIHR Applied Research Collaborations (ARCs),Funders and research programmes,arc-southlondon.bsky.social,NIHR Applied Research Collaboration (ARC) South London ,"The Applied Research Collaboration (ARC) South London is one of 15 
@nihrarcs.bsky.social
We work with our partners on applied health and care research.",0,0,0,2024-10-20
NIHR Applied Research Collaborations (ARCs),Funders and research programmes,arc-oxtv.bsky.social,NIHR ARC OxTV,"Supporting applied health and care research for local populations. One of 15 regional @nihr.bsky.social Applied Research Collaborations  – @nihrarcs.bsky.social
",0,0,0,2024-10-20
NIHR Applied Research Collaborations (ARCs),Funders and research programmes,arc-nwl.bsky.social,NIHR ARC Northwest London (NWL),The NIHR Applied Research Collaboration (ARC) Northwest London is one of 15 @nihrarcs.bsky.social funded by the National Institute for Health and Care Research (@nihr.bsky.social). We work with local partners in Northwest London on applied health and care.,0,0,0,2024-10-20
NIHR Applied Research Collaborations (ARCs),Funders and research programmes,arc-wm.bsky.social,NIHR ARC West Midlands,"Supporting applied health and care research for local populations in the West Midlands. One of 15 regional @nihr.bsky.social Applied Research Collaborations  – @nihrarcs.bsky.social
",0,0,0,2024-10-20
NIHR Applied Research Collaborations (ARCs),Funders and research programmes,sabiredwood.bsky.social,Sabi Redwood,Professor of Social Science Applied to Health and Care at the University of Bristol Medical School; NIHR Applied Research Collaboration West implementation lead and acting director. Researching implementation and inequalities using qualitative methods.,0,0,0,2024-10-20
NIHR Applied Research Collaborations (ARCs),Funders and research programmes,arc-em.bsky.social,NIHR ARC East Midlands,"The NIHR ARC East Midlands is one of 15 ARCs (@nihrarcs.bsky.social) supporting applied health and care research, funded by the National Institute for Health and Care Research (@nihr.bsky.social).",0,0,0,2024-10-20
NIHR Applied Research Collaborations (ARCs),Funders and research programmes,oxfordbrc.bsky.social,Oxford BRC,The NIHR Oxford Biomedical Research Centre (BRC) is a collaboration between the University of Oxford and Oxford University Hospitals NHS Foundation Trust to fund medical research.,0,0,0,2024-10-20
NIHR Applied Research Collaborations (ARCs),Funders and research programmes,arcnenc.bsky.social,NIHR Applied Research Collaboration North East & North Cumbria,"Working together to achieve better, fairer health and care at all ages and in all places. One of 15 Applied Research Collaborations (ARCs) @nihrarcs.bsky.social in England. Funded by @nihr.bsky.social

Visit our website at www.arc-nenc.nihr.ac.uk",0,0,0,2024-10-20
NIHR Applied Research Collaborations (ARCs),Funders and research programmes,ajlittlewood.bsky.social,Alison Littlewood,"NIHR Applied Research Collaboration Greater Manchester Programme Manager. Interested in research helping people to age well and live well #healthyageing 
Amateur ceramicist 🏺and scuba diving enthusiast 🐠. Love to travel 🌎. 
Views my own. ",0,0,0,2024-10-20
NIHR Applied Research Collaborations (ARCs),Funders and research programmes,arcnwc.bsky.social,Applied Research Collaboration North West Coast (ARC NWC),"NIHR ARC North West Coast is one of 15 @nihrarcs.bsky.social
funded by the National Institute for Health and Care Research (@nihr.bsky.social). We work with our partners in the North West of England on applied health and care research.",0,0,0,2024-10-20
NIHR Applied Research Collaborations (ARCs),Funders and research programmes,sooty721.bsky.social,SueW ARC-GM,Head of Operations at NIHR Applied Research Collaboration Greater Manchester.  Views expressed are my own ,0,0,0,2024-10-20
