search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
NIHR Research,Funders and research programmes,mllesharris.bsky.social,Stephanie Harris,"Lawyering, contracting, research funding. Formerly of universities, now Senior Contracts Manager NIHR. Photos of my cats and garden.",0,0,0,2024-10-20
NIHR Research,Funders and research programmes,amirsariaslan.bsky.social,Amir Sariaslan,"PhD, Psychiatric Epidemiology. Senior Research Fellow, University of Oxford. Funded by NIHR Oxford Health BRC. Interested in the causes and consequences of psychiatric disorders and violence.",0,0,0,2024-10-20
NIHR Research,Funders and research programmes,neilchadborn.bsky.social,Neil Chadborn,"Researcher at University of Nottingham & NIHR Applied Research Collaboration East Midlands.
Interested in dementia, inequalities & digital #publichealthsky #gerontology",0,0,0,2024-10-20
NIHR Research,Funders and research programmes,arc-west.bsky.social,NIHR Applied Research Collaboration (ARC) West,The NIHR Applied Research Collaboration (ARC) West is one of 15 @nihrarcs.bsky.social funded by the National Institute for Health and Care Research (@nihr.bsky.social). We work with our partners in the West of England on applied health and care research ,0,0,0,2024-10-20
NIHR Research,Funders and research programmes,nihr.bsky.social,NIHR,"National Institute for Health and Care Research - we fund, enable and deliver world-leading health and social care research that improves people's health and wellbeing, and promotes economic growth.

Impact, Innovation, Investment, Inclusion",0,0,0,2024-10-20
NIHR Research,Funders and research programmes,nihrarcs.bsky.social,NIHR Applied Research Collaborations (ARCs),"We are the network of 15 NIHR (@nihr.bsky.social) Applied Research Collaborations (ARCs)
ARCs support applied health and care research across the country
💙
linktree: linktr.ee/nihrarcs
e-newsletter: tinyurl.com/ARCsnewsletter
website: tinyurl.com/NIHRARCs",0,0,0,2024-10-20
NIHR Research,Funders and research programmes,richard-ma.bsky.social,Dr Richard Ma PhD 🏳️‍🌈🏳️‍⚧️🍉🕺⚕️🩺🎓,"GP 🩺⚕️partner & trainer in London | NIHR Clinical Lecturer, @capcbristol.bsky.social | Bad triathlete 🌟FABULOUS🌟 dancer🕺 | Research: sexual reproductive health HIV  LGBTQ | cis he/him/他 Sussex Beacon Trustee @Richard_GP on X",0,0,0,2024-10-20
NIHR Research,Funders and research programmes,drnimaghadiri.bsky.social,Dr Nima Ghadiri - FBNHS,"NHS Ophthalmic Medicine Specialist | FRCP | Med Ed | NIHR Research Scholar
👁️⚕️🧠📖

(Other places:
https://twitter.com/DrNimaGhadiri
http://instagram.com/drnimaeye
http://linkedin.com/in/nimaghadiri
http://youtube.com/@drnimaeye)",0,0,0,2024-10-20
NIHR Research,Funders and research programmes,penarc.bsky.social,PenARC (NIHR ARC South West Peninsula),"One of 15 Applied Research Collaborations (@nihrarcs.bsky.social) funded by (@nihr.bsky.social).

We support applied health & care research across Cornwall, Devon, Somerset, and beyond.

More from us: linktr.ee/nihrpenarc",0,0,0,2024-10-20
NIHR Research,Funders and research programmes,sarahbriggs.bsky.social,Sarah Briggs,"Newly migrated…
NIHR clinical lecturer, academic oncologist researching sustainable healthcare, University of Oxford
Sustainability, planetary health, climate, ethics, oncology, genomics. Also novice pianist, book-lover, allotment noob, northerner. She/her",0,0,0,2024-10-20
