search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
Newcastle University,university,elizaaudacis.bsky.social,Beth DeBold,Northern Bridge PhD student at Newcastle University | early modern apprenticeship networks | previous librarian | bi+queer+polyam | 🇺🇸 in 🇬🇧 | no terfs & gcs | she/her,0,0,0,2024-10-20
Newcastle University,university,roryturnbull.bsky.social,Rory Turnbull,Senior Lecturer in Phonetics and Phonology at Newcastle University ✦ Bahá’í ✦ Scottish ✦ he/him,0,0,0,2024-10-20
Newcastle University,university,lislowe.bsky.social,Lis Lowe,"Scientist, mum, wife. Fan of gut bacteria, mycobacteria, glycans and cazymes. Mannose evangelist. Lowe Lab, NUBI, Newcastle University",0,0,0,2024-10-20
Newcastle University,university,lauratisdall.bsky.social,Laura Tisdall,"Historian at Newcastle University. History of C20th/C21st British childhood, adulthood & age. Writes & reviews fiction: loves the speculative, sapphic and uncanny. Lesbian. 🌈 https://drlauratisdall.wordpress.com",0,0,0,2024-10-20
Newcastle University,university,nilsbraakmann.bsky.social,Nils Braakmann,"Professor of Economics, Newcastle University. Dad to 2 humans and 3 cats. St Pauli supporter. All tweets in personal capacity.

Work here: https://www.ncl.ac.uk/business/people/profile/nilsbraakmann.html
",0,0,0,2024-10-20
Newcastle University,university,emmawhipday.bsky.social,Emma Whipday,"Writer of books and plays. Senior Lecturer at Newcastle University, interested in all things Shakespeare and early modern drama. BBC New Generation Thinker. Working on a book about step-families. She/her.",0,0,0,2024-10-20
Newcastle University,university,drchrishackney.bsky.social,Chris Hackney,"NUAcT fellow at Newcastle University. Vice chair of the British Society for Geomorphology. Researching sand mining, river morophodynamics, microplastics and deltas ⛏️🏞️
",0,0,0,2024-10-20
Newcastle University,university,pssalgado.bsky.social,Prof Paula Salgado,"Structural Microbiologist studies molecular details of C. difficile at Newcastle University, UK. (she/her) Interested in science, politics, theatre, and so much more. Views my own. https://salgadolab.org/",0,0,0,2024-10-20
Newcastle University,university,henrikstrahl.bsky.social,Henrik Strahl,"Microbiologist at the Centre for Bacterial Cell Biology, Newcastle University, Professor of Molecular Microbiology, Editor at Microbiology, 🇫🇮",0,0,0,2024-10-20
Newcastle University,university,newcastleuni.bsky.social,Newcastle University,"Official page of Newcastle University. A World Top 110 University in the North East of England.

Showcasing our research, campus life & the city we live in.",0,0,0,2024-10-20
Newcastle University,university,mduque.bsky.social,Marina Duque ,"Political scientist at Newcastle University | Research on international status, hierarchy, diplomacy, networks

http://marinagduque.com/",0,0,0,2024-10-20
Newcastle University,university,lawandsexuality.bsky.social,Prof. Chris Ashford,"Professor of Law + Society Northumbria University. Queer theorist. Research: sex, sexuality and law. Also interested in HE policy & strategy. 🏠/🏢 Newcastle upon Tyne, UK. 🏳️‍🌈He/Him.",0,0,0,2024-10-20
Newcastle University,university,iceybethan.bsky.social,Bethan Davies,Glaciologist and glacial geologist at Newcastle University. Www.AntarcticGlaciers.org,0,0,0,2024-10-20
Newcastle University,university,nerdpro.bsky.social,Dr Christine Cuskley,"Reader in Language and Cognition at Newcastle University, UK. Communication, social cognition, perception and evolution therof. https://ccuskley.github.io",0,0,0,2024-10-20
Newcastle University,university,astrofawcett.bsky.social,Dr Vicky Fawcett,"Astronomy Research Associate at Newcastle University studying active galaxies ✨ Science communicator, music lover, #WomenInSTEM

www.astrofawcett.com",0,0,0,2024-10-20
Newcastle University,university,jordancuff.bsky.social,Jordan Cuff 🕷️🧬🕸️,Molecular ecological entomologist 🧬🕸️🪲 @ForagingEcology.bsky.social PI 🌾🕷️ Newcastle University Academic Track Fellow 🌼🐝 Editor of Agricultural and Forest Entomology 🌾🪲🌲Fellow of the Royal Entomological Society 🐛🐞 he/him,0,0,0,2024-10-20
Newcastle University,university,jessaloomis.bsky.social,Jessa Loomis,"Economic Geographer @ Newcastle University (UK) researching feminist finance, everyday economies, financial inclusion, housing 'love letters' & the politics of knowledge production // northeast (US) to North East (UK)",0,0,0,2024-10-20
Newcastle University,university,mtrost.bsky.social,Matthias Trost,"Professor of Proteomics at Newcastle University UK. he/him

Here in personal capacity. ",0,0,0,2024-10-20
Newcastle University,university,kristinhussey.bsky.social,Kristin Hussey ,"Lecturer in Environmental History at Newcastle University researching sleep, circadian rhythms and health. Author of Imperial Bodies in London (UPitt:2021). Also sea swimming, museum-ing and mom-ing. Kristinhussey.co.uk",0,0,0,2024-10-20
Newcastle University,university,drjudeharrison.bsky.social,Jude Harrison,"NIHR Clinical Lecturer Old Age Psychiatry, Newcastle University, UK. Interested in dementia, mental health, AI esp. LLMs, biomarkers esp. neuroimaging. Mum of 2, wife of 1.",0,0,0,2024-10-20
Newcastle University,university,laurajaynewright.bsky.social,Laura Jayne Wright,"Writing about early modern sound, women’s voices, screams, prophecies, and hallucinations at Newcastle University. Dabbles in directing and digital theatre. 
she/her. ",0,0,0,2024-10-20
Newcastle University,university,kasparrosager.bsky.social,Kaspar Rosager Ludvigsen,"Assistant Professor in Medical Law, Durham University. Danish lawyer (EU Law/CPS/IoT/AI/MD/CL/DP/LP/DK/Safety). Formerly postdoc, Edinburgh University, RA at University of Newcastle, PhD student, Cybersecurity/Law, CIS, University of Strathclyde. Gourmand.",0,0,0,2024-10-20
Newcastle University,university,kshbeckham.bsky.social,Kate Beckham,"Royal Society University Research Fellow | NUAcT Fellow @ Newcastle University 

Investigating mycobacterial transport systems 
",0,0,0,2024-10-20
Newcastle University,university,astro-obs-ncl.bsky.social,Astro-Obs Newcastle 🔭,"The Astro-Obs group, researching observational astrophysics and cosmology at the School of Mathematics, Statistics and Physics at Newcastle University.  🌌 🔭📡",0,0,0,2024-10-20
Newcastle University,university,fabitmart.bsky.social,Fabio Martinenghi ,"Applied Economist. Research Fellow at University of Newcastle, Australia. Health, Law & Econ, Education. Passionate applied econometrics. #econsky
",0,0,0,2024-10-20
Newcastle University,university,avatarr8.bsky.social,Alex Tarr,"Lecturer in Digital Cultures, Newcastle University
he/him
Co-Author of A People's Guide to the San Francisco Bay Area",0,0,0,2024-10-20
Newcastle University,university,jharrimansmith.bsky.social,James Harriman-Smith,Senior lecturer in Restoration and eighteenth-century literature (especially theatre) at Newcastle University; trustee of BSECS; likes cats and learning languages.,0,0,0,2024-10-20
Newcastle University,university,simonmaddock.bsky.social,Simon Maddock,"Lecturer in Ecology and Evolution at Newcastle University • Scientific Associate at Natural History Museum, London • Interested in ecology, evolution and conservation of reptiles and amphibians • He/Him",0,0,0,2024-10-20
Newcastle University,university,ruamicro.bsky.social,James Connolly,MRC Career Development Fellow at Newcastle University. Studying how pathogens control their genes,0,0,0,2024-10-20
Newcastle University,university,astrosario.bsky.social,David Rosario ,Astronomer. Senior Lecturer at Newcastle University. Dad. Loves kitchens. ,0,0,0,2024-10-20
Newcastle University,university,epagogist.bsky.social,Arkadiusz Synowczyk ,"Philosophy student at Newcastle University | Non-Bayesian inductivist | Epistemology, philosophy of science and language | Interintellect host 🧭",0,0,0,2024-10-20
Newcastle University,university,shokosugasawa.bsky.social,Shoko Sugasawa ,"Research Fellow at Newcastle University studying object manipulation by animals without hands. animal behaviour, ecology, cognition, evolution. Views my own. she/her ",0,0,0,2024-10-20
Newcastle University,university,cpeiretgarcia.bsky.social,Clara Peiret-García,"PhD Researcher at the CDT in Geospatial Systems  (Newcastle University). #UrbanDataScience #SpatialJustice. Food and bookshops lover 📚

",0,0,0,2024-10-20
Newcastle University,university,allostericstate.bsky.social,TJ McCorvie ,"Revealing the hidden world of shape shifting enzymes using Cryo-EM. Senior research associate at Newcastle University, UK.",0,0,0,2024-10-20
Newcastle University,university,louiselib.bsky.social,Louise Masson,"Faculty Liaison Librarian @ Newcastle University. Passions = libraries, theatre, gin, music, Toon related stuff, being a mam to Isla & Robbie. Personal account",0,0,0,2024-10-20
Newcastle University,university,cmforr.bsky.social,Caroline Orr,"Maths & tech editor. BSc Maths (Newcastle) & MSc Logic (I❤️ILLC). Always learning: BA Classical Studies in progress with the Open University. Reader, Gamer. Currently obsessed with finding the perfect note-taking workflow and exploring Faerûn.",0,0,0,2024-10-20
Newcastle University,university,bpboyle.bsky.social,Brian Boyle,"Political Scientist at Newcastle University. Interested in political behaviour, comparative politics, political communication, & computational social science.

brianpaulboyle.com",0,0,0,2024-10-20
Newcastle University,university,tobyblackman.bsky.social,Toby Blackman,"Feminist, Architect, Photographer, Writer | Senior Lecturer in Architecture, Newcastle University (he/him)",0,0,0,2024-10-20
Newcastle University,university,susannaheckersley.bsky.social,Susannah Eckersley,"Professor of Critical Heritage & Memory Cultures, Newcastle University, UK",0,0,0,2024-10-20
Newcastle University,university,jadevshepherd.bsky.social,Jade Shepherd,"Historian of crime, psychiatry, family; former senior lecturer; research associate at Newcastle University. ",0,0,0,2024-10-20
