search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
Royal Holloway University of London,university,stevepeers.bsky.social,Steve Peers ,"Professor of EU and Human Rights Law, Royal Holloway University of London. Next book: UK Trade Law after Brexit (OUP, forthcoming)",0,0,0,2024-10-20
Royal Holloway University of London,university,chrisgrey.bsky.social,Chris Grey,"Emeritus Prof of Organization Studies, Royal Holloway University of London, ex-Prof Warwick & Cambridge. Now mainly analysis of Brexit (& related) including Brexit & Beyond Blog. Author Brexit Unfolded (Biteback, 2021, 2023). Elsewhere @chrisgreybrexit",0,0,0,2024-10-20
Royal Holloway University of London,university,kateantiquity.bsky.social,Kate Cooper,"People-watcher, ancient and modern. Historian of Late Antiquity. Professor of History, Royal Holloway, University of London.",0,0,0,2024-10-20
Royal Holloway University of London,university,jennpiscopo.bsky.social,Jennifer Piscopo,Professor of Gender and Politics at Royal Holloway University of London; co-editor of @ejpgjournal.bsky.social; failed ballerina and would-be puppy owner.,0,0,0,2024-10-20
Royal Holloway University of London,university,sjportugal.bsky.social,Steve Portugal ,"Scientist. Physiologist, Zoologist, Ornithologist - Reader/Assoc Prof at Royal Holloway London. Associate Ed at FunEcology & RSocPublishing 🏳️‍🌈🇪🇺🐦🎾",0,0,0,2024-10-20
Royal Holloway University of London,university,absidd.bsky.social,Abu Siddique,"🔺Associate Professor of Economics at Royal Holloway University of London.
🔺Research Associate at Institute for Fiscal Studies.
🔺Associate Editor at Frontiers in Behavioral Economics (Health Behaviors)

🌐 https://sites.google.com/view/abusiddique",0,0,0,2024-10-20
Royal Holloway University of London,university,inneskeighren.bsky.social,Innes M. Keighren,"Professor of Historical Geography at Royal Holloway, University of London. Co-convenor of the London Group of Historical Geographers. Writing a book on the global lives of William Macintosh (1737–1813). www.inneskeighren.com",0,0,0,2024-10-20
Royal Holloway University of London,university,bobeaglestone.bsky.social,Bob Eaglestone ,"Professor of Contemporary Literature and Thought at Royal Holloway, University of London. Writing a book about Arendt and another about literature and politics in the UK.",0,0,0,2024-10-20
Royal Holloway University of London,university,climategordon.bsky.social,Gordon Inglis,Royal Society Dorothy Hodgkin Fellow and Principal Research Fellow at University of Southampton  | Organic Geochemist  | Paleoclimate | Invisible Disability |,0,0,0,2024-10-20
Royal Holloway University of London,university,robmok.bsky.social,Rob Mok,"Computational Cognitive Neuroscientist at Royal Holloway, University of London. Lab starting @ CiNet in Osaka (2025). Category learning to concept formation and everything in between (attention, semantic/episodic memory) in models & brains. Ageing.",0,0,0,2024-10-20
Royal Holloway University of London,university,olimould.bsky.social,Oli Mould,"Academic at large, but lectures in human geography at Royal Holloway, University of London.

linktr.ee/olimould

Researches anti-capitalism & cities. Christianarchist. Toffeeman. Interested in scifi, films, architecture, music and t-shirts.",0,0,0,2024-10-20
Royal Holloway University of London,university,brihughespoet.bsky.social,Briony Hughes,"Poet in Residence at University of Surrey; PhD Candidate (Kathleen Fraser, Charles Olson, and a ‘hydropoetics’) and Visiting Lecturer at Royal Holloway; edits Osmosis Press, How(ever) How2 Digital Archive, Resurgence and Ecologist ",0,0,0,2024-10-20
