search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
Royal Society,funding_org,michaelemann.bsky.social,Michael E. Mann,"Scientist/Author; Presidential Distinguished Prof/Director Center for Science, Sustainability & the Media, U. Penn; National Academy of Sciences; Royal Society; Tyler Prize",0,0,0,2024-10-20
Royal Society,funding_org,tadethompson.bsky.social,Tade Tommyknocker Thompson,"Writer: Rosewater, Murders of Molly Southbourne, Far from the Light of Heaven, Making Wolf, Jackdaw, shorts, screenplays.

Arthur C. Clarke Award winner.
Hugo nominated.
Fellow of the Royal Society of Literature.

And other untold legends.

",0,0,0,2024-10-20
Royal Society,funding_org,dankaszeta.bsky.social,Dan Kaszeta FRHistS,"Londoner. CBRN expert, particularly nerve agents. Freeman of the City of London. Liveryman. ""Legal Juggernaut"". Anglican. Ex Verger. Author. Fellow of the Royal Historical Society. Scourge of llamas. Former US Army. Former US Secret Service #NAFO",0,0,0,2024-10-20
Royal Society,funding_org,lisavipes.bsky.social,Lisa Buckley ,"Paleontologist PhD & Medical Scribe
BirdGlamour, NameThatTrack, ichnology, bird & dino tracks.
Fellow of Royal Canadian Geographical Society. 
She/Her. 
Views mine.
LOTS of Ash pics!",0,0,0,2024-10-20
Royal Society,funding_org,profbriancox.bsky.social,ProfBrianCox,Professor of Particle Physics at The University of Manchester and Royal Society Professor for Public Engagement in Science,0,0,0,2024-10-20
Royal Society,funding_org,gilespalaeo.bsky.social,Sam Giles,"Scientist and palaeobiologist | she/her/hers | Royal Society Senior Research Fellow in Birmingham, UK and Lapworth Museum Academic Keeper | 🏳️‍🌈 | too many pets | currently mostly migraines |",0,0,0,2024-10-20
Royal Society,funding_org,johnrhutchinson.bsky.social,Professor John R. Hutchinson,"Evolutionary biomechanist. Awesome animals, dinosaurs, anatomy, locomotion, computer modeling, http://whatsinjohnsfreezer.com, #DisabledInSTEM. #DAWNDINOS. He/him. Fellow of the Royal Society.",0,0,0,2024-10-20
Royal Society,funding_org,gilesmacdonogh.bsky.social,Giles MacDonogh,"British-Austrian Historian, Fellow of the Royal Historical Society, author, occasional artist, linguist, food, wine and cooking. ",0,0,0,2024-10-20
Royal Society,funding_org,slweldon.bsky.social,S. Laurel Weldon,"Political Scientist, Scholar of Women, Gender and  Politics, Dean, Faculty of Arts and Social Sciences, Fellow Royal Society of Canada, Distinguished Professor, Simon Fraser University ",0,0,0,2024-10-20
Royal Society,funding_org,stephanieseul.bsky.social,Stephanie Seul,"Historian of media & communication 1900-1945 | Fellow, Royal Historical Society | Mum of 4 | Co-editor, Media History | Part-time lecturer, Univ. of Bremen

Website: https://stephanieseul.com/
Twitter/X: @stephanie_seul",0,0,0,2024-10-20
Royal Society,funding_org,drdan.bsky.social,Dr Dan O’Brien,"Historian of undertakers and funerals in Eighteenth Century England. Researching the trade and their goods. Visiting Research Fellow at CDAS, University of Bath. 
Associate Fellow of Royal Historical Society",0,0,0,2024-10-20
