search_term,organisation_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
University of Southampton,University,jasonreifler.bsky.social,Jason Reifler,"Political Science Prof at University of Southampton. I study misperceptions, fact-checking, and foreign policy attitudes. American in the UK. he/his (y'all whenever possible). Spurs #COYS. ",0,0,0,2024-11-25
University of Southampton,University,ashkingdon.bsky.social,Ashton Kingdon ,"Lecturer in Criminology at the University of Southampton Researching all Things #OnlineExtremism #Terrorism #ClimateChange #Gaming #Ethics #VisualMethods #FarRight 
",0,0,0,2024-11-25
University of Southampton,University,apsmunro.bsky.social,Alasdair Munro,"NIHR Academic Clinical Lecturer in Paediatric Immunology and Infectious Diseases
University of Southampton and Southampton Children’s Hospital UK

alasdairmunro.substack.com ",0,0,0,2024-11-25
University of Southampton,University,thefosterlab.bsky.social,Gavin Foster,"Palaeoclimatologist and isotope geochemist at the University of Southampton. Love/hate relationship with mass spectrometers. Researcher of climate science, coral reefs, biomineralisation, laser ablation, isotopes and geology.  Views my own",0,0,0,2024-11-25
University of Southampton,University,zoophilosophy.bsky.social,Dr Heather Browning (Veit),"Scientist & Philosopher | Former zookeeper, now Lecturer at University of Southampton, specialising in animal welfare, sentience, and ethics",0,0,0,2024-11-25
University of Southampton,University,lalamur.bsky.social,Lala Muradova,"Lecturer at University of Southampton.

www.lalamuradova.com

Empathy in Politics • Political Opinion Formation • Emotions • Democratic Innovations • Climate Change • Misinformation • Deliberation

Basketball| Red Lipstick| Dancing

ENG/ESP/CAT/AZ/RU/FR...",0,0,0,2024-11-25
University of Southampton,University,tobylitt.bsky.social,Toby Litt,Writer. Activist. Head of Creative Writing at Southampton University.,0,0,0,2024-11-25
University of Southampton,University,williamlallen.bsky.social,Will Allen,"political scientist at the University of Southampton • how people engage with info, and why this matters • Deputy Editor @migrationjrnl.bsky.social • UK Young Academy • all the baking • www.wlallen.com",0,0,0,2024-11-25
University of Southampton,University,duhaut.bsky.social,Noëmie Duhaut,"Lecturer in Modern European Jewish History at the University of Southampton.
Based at @historyatsoton.bsky.social & @parkesinstitute.bsky.social

",0,0,0,2024-11-25
University of Southampton,University,lawrencemckay.bsky.social,Lawrence McKay,"Political scientist at the University of Southampton - urban-rural divides, political trust, public opinion, UK/W Europe. Sometimes music/film/F1. Professional Simpsons reference overuser.",0,0,0,2024-11-25
University of Southampton,University,jess-smith.bsky.social,Jessica C. Smith,"📚 Gender | Political Behaviour | Representation | Politics & Parenthood
📍Assistant Prof University of Southampton

Co-convenor @psawomenandpol & @genelectnet

Also:
🐾 Cat enthusiast
🍺 Book and pub lover
🎨 Appreciator of graffiti in women's loos",0,0,0,2024-11-25
University of Southampton,University,climategordon.bsky.social,Gordon Inglis,Paleoclimate | Organic Geochemist | Royal Society Dorothy Hodgkin Fellow and Principal Research Fellow at University of Southampton | Invisible Disability,0,0,0,2024-11-25
University of Southampton,University,envidynxlab.bsky.social,Dr Eli Lazarus,"Environmental Dynamics Lab @ University of Southampton (but views own) | coasts, rivers, the neoenvironment, geographies of risk",0,0,0,2024-11-25
University of Southampton,University,profannikawerner.bsky.social,Annika Werner,"Professor of Politics

Currently Australian National University, soon University of Southampton @sotonpolitics.bsky.social

Research: Democracy, populism, attitudes and values. 

Creating new spaces @ecpr-ead.bsky.social

Private: Beaches, boxing and cats.",0,0,0,2024-11-25
University of Southampton,University,unisouthampton.bsky.social,University of Southampton,"The official account for the University of Southampton. Founding member of the Russell Group.

Ranked among the top 100 universities worldwide.",0,0,0,2024-11-25
University of Southampton,University,clivetrue.bsky.social,Clive Trueman,"Professor of Marine (isotope)Ecology at the University of Southampton. Interested in all things sciencey especially marine, fishy things, otoliths climate and guitars ",0,0,0,2024-11-25
University of Southampton,University,carolineleicht.bsky.social,Dr Caroline Leicht,"Researches gender, media and politics, comedy, US politics & elections at the University of Glasgow • Visiting Fellow, Department of Politics and International Relations, University of Southampton • she/her

https://carolinevleicht.weebly.com",0,0,0,2024-11-25
University of Southampton,University,chrisgoatley.bsky.social,Chris Goatley ,Marine biologist at the University of Southampton. Researching reef fish ecology and evolution and the awesomest fish in the sea - gobies. 🐠🪸🇬🇧🇪🇺🇭🇲🏳️‍🌈,0,0,0,2024-11-25
University of Southampton,University,neilgregor.bsky.social,Neil Gregor,"Professor of Modern European History / Director of the Parkes Institute, University of Southampton. The Symphony Concert in Nazi Germany (University of Chicago Press, May 2025). Things German, musical, historical, political, random. https://bit.ly/3ZwwJlM",0,0,0,2024-11-25
University of Southampton,University,cazemiera.bsky.social,Annelies Cazemier,"Ancient historian. Greek and Hellenistic world, religion, Macedonia, Aegean sea, islands, and coasts, cultural interaction. Lecturer at the University of Southampton. Co-director of the Antigonid Network. Based in Newbury, UK.",0,0,0,2024-11-25
University of Southampton,University,rikkidean.bsky.social,Rikki Dean,"Associate Professor in Politics and Co-Director of the Centre for Democratic Futures at Southampton University. 

Visiting Professor at Democratic Innovations Research Unit, Frankfurt University.

https://rikkidean.com/",0,0,0,2024-11-25
University of Southampton,University,conorgaughan.bsky.social,Conor Gaughan,PhD Student | University of Southampton | Quantitative Political Science | Social Media Analysis,0,0,0,2024-11-25
University of Southampton,University,ampelliconi.bsky.social,Andrea Maria Pelliconi,"Lecturer in Human Rights Law & Global Justice at the University of Southampton, researching on demographic engineering & int'L | previously at City, University of London, University of Nottingham, BHRRC, IBAHRI | 🌱plant-based, mostly pasta & coffee",0,0,0,2024-11-25
University of Southampton,University,gernon.bsky.social,Tom Gernon,"Interdisciplinary Earth Scientist; Professor at University of Southampton, UK
thomasgernon.co.uk 
He/him",0,0,0,2024-11-25
University of Southampton,University,anoushka-ar.bsky.social,Anoushka Alexander-Rose,"Finishing up a PhD on Vladimir Nabokov and the Jewish Muse at @parkesinstitute.bsky.social at the University of Southampton, and thinking lots about Wandering Jews",0,0,0,2024-11-25
University of Southampton,University,herazhar.bsky.social,Hirah Azhar,"PhD candidate, University of Southampton and Imperial War Museum | War, extremism, influence in the age of social media | Previously: CVE policy | Sandwiches, cats, duvet caves | Really just all over the place | Views mine",0,0,0,2024-11-25
University of Southampton,University,emilybolton.bsky.social,Emily Bolton,Medievalist and PhD student at the University of Southampton. Researching women in manorial law.,0,0,0,2024-11-25
University of Southampton,University,burakbaskan.bsky.social,Burak Başkan,"Associate Professor in Political Science and Gender Studies at ETÜ | Alumnus: Middle East Technical University, University of Southampton, The University of Sheffield",0,0,0,2024-11-25
University of Southampton,University,adityan.bsky.social,Aditya Narayanan,"Physical oceanographer interested in Antarctica, sea ice, and ocean- cryosphere interactions. At the University of Southampton. Academic website: adityarn.github.io",0,0,0,2024-11-25
University of Southampton,University,elisafadda.bsky.social,Elisa Fadda,"Associate Professor in the School of Biological Sciences at the University of Southampton, head chef at https://GlycoShape.org, Salem's butler, fucose fanatic #glycotime everyday!",0,0,0,2024-11-25
