search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
University of York,university,olufemiotaiwo.bsky.social,Olúfẹ́mi O. Táíwò,political philosopher at Georgetown University. rhythm guitarist + vox for Femi and the Foundation. Spurs fan #COYS,0,0,0,2024-10-20
University of York,university,donmoyn.bsky.social,Don Moynihan,"Policy Professor, Ford School, University of Michigan.
Irish immigrant. Administrative burdens guy.
Free newsletter, Can We Still Govern?: https://donmoynihan.substack.com",0,0,0,2024-10-20
University of York,university,katestarbird.bsky.social,Kate Starbird,"Professor at University of Washington, HCDE. Cofounder of the UW Center for an Informed Public. Researcher of online rumors and disinformation. Also, former basketball player (Stanford, ABL, WNBA).",0,0,0,2024-10-20
University of York,university,janecoaston.bsky.social,Jane Coaston,Contributing writer at the New York Times. Previously: host of The Argument. Go Blue means Go the University of Michigan. ,0,0,0,2024-10-20
University of York,university,astroroyalscot.bsky.social,Astronomer Royal for Scotland | Catherine Heymans,"Astronomer Royal for Scotland, Professor of Astrophysics, Edinburgh University. Director of the German Centre for Cosmological Lensing, RUB. #LongCovid",0,0,0,2024-10-20
University of York,university,stevevladeck.bsky.social,Steve Vladeck,"Karen’s husband; father of daughters; Charles Alan Wright Chair in Federal Courts at the University of Texas School of Law; SCOTUS nerd for CNN.

SCOTUS newsletter: stevevladeck.substack.com

New book: tinyurl.com/shadowdocket",0,0,0,2024-10-20
University of York,university,ebonyteach.bsky.social,Ebony Elizabeth Thomas,"Chair and Associate Professor, University of Michigan's Joint Program in English and Education. Author, The Dark Fantastic & other stuff. FAMU 🐍. 1913 ❤️. She/her/hers. Forthcoming: Shifter and Dreamer (Lee & Low / Tu Books, 2026). Linktree: Ebonyteach.",0,0,0,2024-10-20
University of York,university,sarahemclaugh.bsky.social,Sarah McLaughlin,"Global Expression, FIRE. Writing a book about transnational repression in higher education: Authoritarians in the Academy, Johns Hopkins University Press. Signal: sarahemclaugh.01. Opinions mine. Go birds.",0,0,0,2024-10-20
University of York,university,legalminimum.bsky.social,Concepts of a Plan for “Himbo Heist”,No longer head lawyer for Bungie. Kinda retired. Have entered my super villain era. Ex-Chief Legal Officer of Pokémon. Produced Detective Pikachu. Entertainment Law prof (University of Washington). Supporter of trans kids. ,0,0,0,2024-10-20
University of York,university,robfordmancs.bsky.social,Rob Ford,"Politics Professor, University of Manchester. 
Author of ""Brexitland"" and ""The British General Election of 2019""
My Substack, ""The Swingometer"", is here: https://swingometer.substack.com/
https://www.robertford.net/",0,0,0,2024-10-20
University of York,university,edhawkins.bsky.social,Ed Hawkins,"Climate scientist at the National Centre for Atmospheric Science, University of Reading | IPCC AR6 Lead Author | MBE | Warming Stripes: http://www.ShowYourStripes.info | Weather Rescue citizen science initiative: http://www.WeatherRescue.org ",0,0,0,2024-10-20
University of York,university,barretoleitej.bsky.social,João Barreto Leite,"Bacharel e Mestrando em Filosofia pela UFMG. Realizou intercâmbio universitário na Tyumen State University, Rússia.

Por favor, me sigam no Instagram: BarretoLeiteJ 
Link: instagram.com/barretoleitej",0,0,0,2024-10-20
University of York,university,enbrown.bsky.social,Elizabeth Nolan Brown ,"Senior editor at Reason, covering sex, speech, tech, justice, prohibition & panic. Cofounder of Feminists for Liberty. Adjunct at the University of Cincinnati journalism school",0,0,0,2024-10-20
University of York,university,statsepi.bsky.social,Darren Dahly,"Epidemiologist + Statistician | Clinical Research Facility - University College Cork | UCC School of Public Health | #ClinicalTrials #Epidemiology #Statistics #RStats 
Views mine -> https://statsepi.substack.com/",0,0,0,2024-10-20
University of York,university,ckemfert.bsky.social,Claudia Kemfert,Professor Energy Economics and Energy Policy German Institute for Economic Research and Leuphana University ,0,0,0,2024-10-20
University of York,university,katestew.art,Kate Stewart 🏏 🌱 🎓,"Associate Professor of Sociology, and Interim Head of the School of Social Work at the University of East Anglia. 
Vegan. Feminist. Jocund old sarcasmatron. 
Norwich, UK. 
https://linktr.ee/katestewart
Please don’t add me to Starter Packs, ta. 
",0,0,0,2024-10-20
University of York,university,markrubin.bsky.social,Mark Rubin,"social psychology ▪︎ metascience ▪︎ philosophy of science ▪︎ higher education

Professor at Durham University, UK. He/him.

Website: https://sites.google.com/site/markrubinsocialpsychresearch/

Substack: https://markrubin.substack.com/",0,0,0,2024-10-20
University of York,university,gavinyamey.bsky.social,Gavin Yamey ,"Professor of Global Health & Public Policy at Duke University. Director of the Center for Policy Impact in Global Health. DJ at WXDU (Thursdays, 4-6pm ET, wxdu.org). TIME columnist. He/him. Tallest Jew on Earth.",0,0,0,2024-10-20
University of York,university,mfratzscher.bsky.social,Marcel Fratzscher,"President of DIW Berlin and Professor for Macroeconomics at Humboldt University.
Economist, author, and columnist for Die Zeit: https://www.zeit.de/serie/fratzschers-verteilungsfragen",0,0,0,2024-10-20
University of York,university,jdmortenson.bsky.social,Julian Davis Mortenson,"University of Michigan law professor. Legal historian. Constitutional litigator. Writing a book on executive power in early America. Frazzled dad. Probably kidding.

Faculty bio at http://bit.ly/jdm-bio",0,0,0,2024-10-20
University of York,university,kitdewaal.bsky.social,Kit de Waal,"Optimist, writer, swearer. common person. Mostly trying to be better but not always.  Co-founder Big Book Weekend with @MollyFlatt. Proud Primadonna. Professor, University of Leicester.  Also found @portopiatv.  Photo by @sarahmlee",0,0,0,2024-10-20
University of York,university,veenadubal.bsky.social,Veena Dubal,"Professor of Law, University of CA College of Law, SF • Technology & Society • Work Law • Precarity • Race • Not Legal Advice • she/her • Sam's sister",0,0,0,2024-10-20
University of York,university,amaramarasingam.bsky.social,Amarnath Amarasingam,"Prof @ Queen's University | Work: Extremist/social movements, diaspora politics, conspiracy theories, online communities, MENA, South Asia | Hip-Hop is life 🎤",0,0,0,2024-10-20
University of York,university,jacasiegel.bsky.social,"Jaclyn A. Siegel, PhD","Research Scientist in Public Health at NORC at the University of Chicago • Gender, sexuality, and body image research • Crossword puzzle and Mamma Mia enthusiast • Views do not reflect my employer • She/her/hers",0,0,0,2024-10-20
