search_term,organization_type,handle,display_name,description,follower_count,following_count,posts_count,search_date
Wellcome Trust,Funders and research programmes,ceclindgren.bsky.social,Cecilia Lindgren,Director of Oxford Big Data Institute. Proud mom of 3. Co-chair of @icdabio. Wellcome Trust Investigator. Promoting equality in academia. Love 🦈. #🕷🕸💙,0,0,0,2024-10-20
Wellcome Trust,Funders and research programmes,tedilta.bsky.social,Diletta De Cristofaro,"Asst prof Northumbria U contemporary lit & culture | Wellcome Trust PI on Writing the Sleep Crisis & Reimagining Sleep | Essays in New Humanist, The Week, Review31 + | 📖 on apocalypse; Bloomsbury | Co-Chair of @bacls.bsky.social  | dilettadecristofaro.com",0,0,0,2024-10-20
Wellcome Trust,Funders and research programmes,binyammogessie.bsky.social,Binyam Mogessie ቢንያም ሞገሴ,"Asst. Prof @Yale @MCDB_Yale studying eggs, chromosomes and human infertility. Wellcome Trust Sir Henry Dale Fellow. https://eggsnchromosomes.com",0,0,0,2024-10-20
Wellcome Trust,Funders and research programmes,drjocutler.bsky.social,Jo Cutler,"Wellcome Trust Early Career Research Fellow
@thechbh.bsky.social, University of Birmingham
http://tinyurl.com/Helpful-Brain
Prosocial decisions, kindness, charity, neuroscience, modelling, ageing",0,0,0,2024-10-20
Wellcome Trust,Funders and research programmes,draimeegrant.bsky.social,Dr Aimee Grant ,"#ActuallyAutistic Wellcome Trust Career Development Fellow: ""Autism from Menstruation to Menopause"" | Swansea Uni ",0,0,0,2024-10-20
Wellcome Trust,Funders and research programmes,emyang.bsky.social,Dr. Elisabeth M. Yang,"Philosophically-bent, historian/childhood studies PhD, Wellcome Trust Fellow, history of medicine, material culture/moral babies & children/amateur thespian/tea snob

Based in the School of Philosophy, Religion and History of Science at University of Leeds",0,0,0,2024-10-20
Wellcome Trust,Funders and research programmes,articnetwork.bsky.social,ARTIC Network,"Putting genomic surveillance at the heart of outbreak response. Wellcome Trust-funded Collaborative Award.
",0,0,0,2024-10-20
Wellcome Trust,Funders and research programmes,shivanim-kc.bsky.social,Dr Shivani Misra ,"Diabetes physician & scientist studying early-onset type 2 diabetes & precision medicine in type 2 diabetes

Consultant in Metabolic Medicine 
Wellcome Trust Investigator 
Imperial College London",0,0,0,2024-10-20
Wellcome Trust,Funders and research programmes,normanvanrhijn.bsky.social,Norman van Rhijn,Wellcome Trust Fellow at University of Manchester | Fungal infections | AMR | Antifungal dual-use,0,0,0,2024-10-20
Wellcome Trust,Funders and research programmes,valerialulla.bsky.social,Valeria Lulla,PI Virologist & Wellcome Trust/Royal Society Sir Henry Dale fellow studying RNA viruses at the University of Cambridge,0,0,0,2024-10-20
Wellcome Trust,Funders and research programmes,lucycogan.bsky.social,Lucy Cogan,UCD English. PI of Wellcome Trust “Drinking Cultures” project. Medical Humanist. Blakean. Romanticist. New here,0,0,0,2024-10-20
Wellcome Trust,Funders and research programmes,mattvxwhelan.bsky.social,Matt Whelan / Mathúin Ó Faoláin,"
Wellcome Trust Early Career Fellow working with 
Jolly lab, UCL and @HenriquesLab, IGC

#Cellular #Microbiologist doing #HCS and #SR #Microscopy of #HIV.",0,0,0,2024-10-20
Wellcome Trust,Funders and research programmes,joclarkecoast.bsky.social,Joanna Coast,"Professor in the Economics of Health & Care, University of Bristol; Health Economics editor, Social Science & Medicine; Wellcome Trust Investigator; ICECAP capability measures, qualitative methods, priority setting, #HealthEconomics",0,0,0,2024-10-20
Wellcome Trust,Funders and research programmes,helenweavers.bsky.social,Helen Weavers ,"Group Leader, Wellcome Trust, Royal Society & Lister Institute Fellow, Faculty of Life Sciences, University of Bristol. 

Using flies, microscopy and molecular cell biology to understand how cells and tissues resist and recover from injury ",0,0,0,2024-10-20
