organization_name,type
University of Oxford,university
University of Cambridge,university
Imperial College London,university
University College London (UCL),university
University of Edinburgh,university
University of Manchester,university
King's College London,university
London School of Economics (LSE),university
University of Bristol,university
University of Warwick,university
University of Glasgow,university
University of Birmingham,university
University of Sheffield,university
University of Leeds,university
University of Southampton,university
University of Nottingham,university
Queen Mary University of London,university
University of Liverpool,university
Durham University,university
University of York,university
Cardiff University,university
Newcastle University,university
University of Exeter,university
Queen's University Belfast,university
University of Aberdeen,university
University of Sussex,university
University of Bath,university
Lancaster University,university
University of East Anglia,university
University of Leicester,university
Loughborough University,university
University of Reading,university
St Andrews University,university
University of Surrey,university
University of Strathclyde,university
Heriot-Watt University,university
Royal Holloway University of London,university
University of Essex,university
Aston University,university
Brunel University London,university
UK Research and Innovation (UKRI),funding_org
Engineering and Physical Sciences Research Council (EPSRC),funding_org
Medical Research Council (MRC),funding_org
Natural Environment Research Council (NERC),funding_org
Economic and Social Research Council (ESRC),funding_org
Biotechnology and Biological Sciences Research Council (BBSRC),funding_org
Science and Technology Facilities Council (STFC),funding_org
Arts and Humanities Research Council (AHRC),funding_org
Research England,funding_org
Innovate UK,funding_org
Wellcome Trust,funding_org
Cancer Research UK,funding_org
British Heart Foundation,funding_org
Leverhulme Trust,funding_org
Nuffield Foundation,funding_org
Royal Society,funding_org
British Academy,funding_org
Royal Academy of Engineering,funding_org
National Institute for Health Research (NIHR),funding_org
The Alan Turing Institute,research_org
Diamond Light Source,research_org
British Antarctic Survey,research_org
National Physical Laboratory,research_org
Rosalind Franklin Institute,research_org
UK Atomic Energy Authority,research_org
Francis Crick Institute,research_org
Faraday Institution,research_org
Henry Royce Institute,research_org
Medicines Discovery Catapult,research_org
Arts and Humanities Research Council ,Funders and research programmes
Biotechnology and Biological Sciences Research Council,Funders and research programmes
Engineering and Physical Sciences Research Council,Funders and research programmes
ESRC,Funders and research programmes
Joseph Rowntree Foundation ,Funders and research programmes
MRC,Funders and research programmes
National Lottery Community Fund,Funders and research programmes
Natural Environment Research Council,Funders and research programmes
NIHR Applied Research Collaboration North East & North Cumbria,Funders and research programmes
NIHR Applied Research Collaboration (ARC) West,Funders and research programmes
NIHR Applied Research Collaborations (ARCs),Funders and research programmes
NIHR ARC East Midlands,Funders and research programmes
NIHR ARC Greater Manchester,Funders and research programmes
NIHR ARC Kent,Funders and research programmes
NIHR ARC North Thames,Funders and research programmes
NIHR ARC North West Coast,Funders and research programmes
NIHR ARC Northwest London (NWL),Funders and research programmes
NIHR ARC Oxford and Thames Valley,Funders and research programmes
NIHR ARC West Midlands,Funders and research programmes
NIHR ARC Yorkshire & Humber,Funders and research programmes
NIHR ARC Wessex,Funders and research programmes
NIHR Bristol Biomedical Research Centre (BRC),Funders and research programmes
NIHR Research,Funders and research programmes
