organisation_name,type
The University of Surrey,University
University of York,University
Aston University,University
University of Cambridge,University
University of Southampton,University
University of Brighton,University
The University of Liverpool,University
Birmingham City University,University
University of Sunderland,University
Queen Mary University of London,University
Anglia Ruskin University Higher Education Corporation,University
Edge Hill University,University
University of Bristol,University
University of Exeter,University
"University of Nottingham, the",University
University of Plymouth,University
University of Newcastle upon Tyne,University
University College London,University
University of Central Lancashire,University
The University of East Anglia,University
The University of Birmingham,University
The University of Hull,University
The University of Leeds,University
The University of Leicester,University
The University of Manchester,University
University of Oxford,University
University of Keele,University
The University of Lancaster,University
The University of Buckingham,University
The University of Sheffield,University
The University of Warwick,University
"City, University of London",University
Canterbury Christ Church University,University
Leeds Beckett University,University
Sheffield Hallam University,University
University of St Mark & St John,University
Brunel University London,University
Norwich University of the Arts,University
"University of the West of England, Bristol",University
Harper Adams University,University
Middlesex University Higher Education Corporation,University
University of Sussex,University
York St John University,University
Leeds Trinity University,University
University of Lincoln,University
Arts University Plymouth,University
Bournemouth University Higher Education Corporation,University
Falmouth University,University
"University of Salford, the",University
Liverpool Hope University,University
Manchester Metropolitan University,University
Bishop Grosseteste University,University
University of Worcester,University
University of Wolverhampton,University
University of Gloucestershire,University
London South Bank University,University
Kingston University,University
Loughborough University,University
Health Sciences University,University
Leeds Arts University,University
Ravensbourne University London,University
Southampton Solent University,University
Liverpool John Moores University,University
The University of Huddersfield,University
Bath Spa University,University
The University of Essex,University
University of Northumbria at Newcastle,University
University of Durham,University
The University of West London,University
University of Portsmouth Higher Education Corporation,University
"University of the Arts, London",University
The University of Reading,University
Buckinghamshire New University,University
The Royal Agricultural University,University
Arts University Bournemouth,University
University of Hertfordshire Higher Education Corporation,University
The University of Bath,University
Oxford Brookes University,University
Nottingham Trent University,University
The University of Kent,University
De Montfort University Higher Education Corporation,University
University College Birmingham,University
Coventry University,University
University of Chester,University
University of Staffordshire,University
University of Bedfordshire,University
Birmingham Newman University,University
University of Derby,University
University of Suffolk,University
"University of Northampton, the",University
Roehampton University,University
BPP University Limited,University
Teesside University,University
University of Winchester,University
The University of Westminster,University
University of Greenwich,University
London Metropolitan University,University
The University of Bolton,University
The University of Chichester,University
The University of Bradford,University
The University of Cumbria,University
University of East London,University
"St Mary’s University, Twickenham",University
University College of Osteopathy (The),University
University for the Creative Arts,University
The University of Law Limited,University
Arden University Limited,University
The Open University,University
BIMM University Limited,University
"Richmond, the American International University in London, Inc.",University
Hartpury University,University
Northeastern University – London,University
Regent's University London Limited,University
